legacy_id,kind,canonical_claim_id,first_reference,note
D0-COSMO-004,LEGACY_BOOK_LABEL,,BOOK_07_GRAVITY_LIMIT_AND_FINITE_GEOMETRY.md:769,Historical book label retained for textual continuity; carries no independent release status.
D0-COSMO-005,LEGACY_BOOK_LABEL,,BOOK_07_GRAVITY_LIMIT_AND_FINITE_GEOMETRY.md:770,Historical book label retained for textual continuity; carries no independent release status.
D0-COSMOLOGY-REHEATING-TO-CMB-CLOSURE-001,LEGACY_BOOK_LABEL,,BOOK_08_COSMOLOGY_ARCHIVE_AND_SDE_TRANSFER.md:1342,Historical book label retained for textual continuity; carries no independent release status.
D0-CVFT-005,LEGACY_BOOK_LABEL,,BOOK_04_SPECTRUM_MATTER_AND_FINITE_SELECTOR_THEORY.md:218,Historical book label retained for textual continuity; carries no independent release status.
D0-DYN-001,LEGACY_BOOK_LABEL,,BOOK_02_MATHEMATICAL_PROOF_SPINE_AND_INVARIANT_CALCULUS.md:1376,Historical book label retained for textual continuity; carries no independent release status.
D0-EW-001,LEGACY_BOOK_LABEL,,BOOK_03_FINITE_ACTION_OPERATORS_AND_SCENE_DYNAMICS.md:545,Historical book label retained for textual continuity; carries no independent release status.
D0-FOUND-002,LEGACY_BOOK_LABEL,,BOOK_01_CONDENSED_FOUNDATIONS_AND_GRAPH_BIRTH.md:1505,Historical book label retained for textual continuity; carries no independent release status.
D0-FOUND-003,LEGACY_BOOK_LABEL,,BOOK_07_GRAVITY_LIMIT_AND_FINITE_GEOMETRY.md:757,Historical book label retained for textual continuity; carries no independent release status.
D0-GAUGE-001,LEGACY_BOOK_LABEL,,BOOK_03_FINITE_ACTION_OPERATORS_AND_SCENE_DYNAMICS.md:544,Historical book label retained for textual continuity; carries no independent release status.
D0-GRAV-001,LEGACY_BOOK_LABEL,,BOOK_07_GRAVITY_LIMIT_AND_FINITE_GEOMETRY.md:764,Historical book label retained for textual continuity; carries no independent release status.
D0-GRAV-003,LEGACY_BOOK_LABEL,,BOOK_07_GRAVITY_LIMIT_AND_FINITE_GEOMETRY.md:766,Historical book label retained for textual continuity; carries no independent release status.
D0-GRAV-DSS-001,LEGACY_BOOK_LABEL,,BOOK_07_GRAVITY_LIMIT_AND_FINITE_GEOMETRY.md:1839,Historical book label retained for textual continuity; carries no independent release status.
D0-GRAV-DSS-002,LEGACY_BOOK_LABEL,,BOOK_07_GRAVITY_LIMIT_AND_FINITE_GEOMETRY.md:1840,Historical book label retained for textual continuity; carries no independent release status.
D0-GRAV-DSS-003,LEGACY_BOOK_LABEL,,BOOK_07_GRAVITY_LIMIT_AND_FINITE_GEOMETRY.md:1841,Historical book label retained for textual continuity; carries no independent release status.
D0-GRAV-DSS-004,LEGACY_BOOK_LABEL,,BOOK_07_GRAVITY_LIMIT_AND_FINITE_GEOMETRY.md:1842,Historical book label retained for textual continuity; carries no independent release status.
D0-GRAV-DSS-NOGO-001,LEGACY_BOOK_LABEL,,BOOK_07_GRAVITY_LIMIT_AND_FINITE_GEOMETRY.md:1843,Historical book label retained for textual continuity; carries no independent release status.
D0-HADRON-001,LEGACY_BOOK_LABEL,,BOOK_02_MATHEMATICAL_PROOF_SPINE_AND_INVARIANT_CALCULUS.md:1387,Historical book label retained for textual continuity; carries no independent release status.
D0-ICOSIAN-E8-CARRIER-001,LEGACY_BOOK_LABEL,,BOOK_02_MATHEMATICAL_PROOF_SPINE_AND_INVARIANT_CALCULUS.md:2608,Historical book label retained for textual continuity; carries no independent release status.
D0-ICOSIAN-LEECH-BRIDGE-001,LEGACY_BOOK_LABEL,,BOOK_02_MATHEMATICAL_PROOF_SPINE_AND_INVARIANT_CALCULUS.md:2609,Historical book label retained for textual continuity; carries no independent release status.
D0-LEPTON-001,LEGACY_BOOK_LABEL,,BOOK_02_MATHEMATICAL_PROOF_SPINE_AND_INVARIANT_CALCULUS.md:1381,Historical book label retained for textual continuity; carries no independent release status.
D0-MATH-001,LEGACY_BOOK_LABEL,,BOOK_03_FINITE_ACTION_OPERATORS_AND_SCENE_DYNAMICS.md:538,Historical book label retained for textual continuity; carries no independent release status.
D0-MATTER-001,LEGACY_BOOK_LABEL,,BOOK_02_MATHEMATICAL_PROOF_SPINE_AND_INVARIANT_CALCULUS.md:1399,Historical book label retained for textual continuity; carries no independent release status.
D0-MESON-001,LEGACY_BOOK_LABEL,,BOOK_02_MATHEMATICAL_PROOF_SPINE_AND_INVARIANT_CALCULUS.md:1409,Historical book label retained for textual continuity; carries no independent release status.
D0-META-001,LEGACY_BOOK_LABEL,,BOOK_00_ENTRY_CONTRACT_AND_ADMISSIBILITY.md:431,Historical book label retained for textual continuity; carries no independent release status.
D0-METRO-001,LEGACY_BOOK_LABEL,,BOOK_01_CONDENSED_FOUNDATIONS_AND_GRAPH_BIRTH.md:1508,Historical book label retained for textual continuity; carries no independent release status.
D0-NEUTRINO-001,LEGACY_BOOK_LABEL,,BOOK_02_MATHEMATICAL_PROOF_SPINE_AND_INVARIANT_CALCULUS.md:1392,Historical book label retained for textual continuity; carries no independent release status.
D0-NEUTRON-001,LEGACY_BOOK_LABEL,,BOOK_02_MATHEMATICAL_PROOF_SPINE_AND_INVARIANT_CALCULUS.md:1389,Historical book label retained for textual continuity; carries no independent release status.
D0-PHI-M1-DUALITY-001,LEGACY_BOOK_LABEL,,BOOK_01_CONDENSED_FOUNDATIONS_AND_GRAPH_BIRTH.md:2188,Historical book label retained for textual continuity; carries no independent release status.
D0-PHOTON-001,LEGACY_BOOK_LABEL,,BOOK_02_MATHEMATICAL_PROOF_SPINE_AND_INVARIANT_CALCULUS.md:1391,Historical book label retained for textual continuity; carries no independent release status.
D0-PI0-001,LEGACY_BOOK_LABEL,,BOOK_07_GRAVITY_LIMIT_AND_FINITE_GEOMETRY.md:771,Historical book label retained for textual continuity; carries no independent release status.
D0-QM-001,LEGACY_BOOK_LABEL,,BOOK_03_FINITE_ACTION_OPERATORS_AND_SCENE_DYNAMICS.md:542,Historical book label retained for textual continuity; carries no independent release status.
D0-QUASI-001,LEGACY_BOOK_LABEL,,BOOK_02_MATHEMATICAL_PROOF_SPINE_AND_INVARIANT_CALCULUS.md:2131,Historical book label retained for textual continuity; carries no independent release status.
D0-QUASI-002,LEGACY_BOOK_LABEL,,BOOK_02_MATHEMATICAL_PROOF_SPINE_AND_INVARIANT_CALCULUS.md:2447,Historical book label retained for textual continuity; carries no independent release status.
D0-SCENE-002,LEGACY_BOOK_LABEL,,BOOK_03_FINITE_ACTION_OPERATORS_AND_SCENE_DYNAMICS.md:537,Historical book label retained for textual continuity; carries no independent release status.
D0-SCENE-CENTER-SPACETIME-CONVERGENCE-001,LEGACY_BOOK_LABEL,,BOOK_01_CONDENSED_FOUNDATIONS_AND_GRAPH_BIRTH.md:2006,Historical book label retained for textual continuity; carries no independent release status.
D0-THERMO-001,LEGACY_BOOK_LABEL,,BOOK_07_GRAVITY_LIMIT_AND_FINITE_GEOMETRY.md:762,Historical book label retained for textual continuity; carries no independent release status.
D0-VERTEX-001,LEGACY_BOOK_LABEL,,BOOK_03_FINITE_ACTION_OPERATORS_AND_SCENE_DYNAMICS.md:543,Historical book label retained for textual continuity; carries no independent release status.
D0-VNEXT-MARTINGALE-DIRAC-CANONICAL-SCALE-OWNER-001,LEGACY_BOOK_LABEL,,BOOK_03_FINITE_ACTION_OPERATORS_AND_SCENE_DYNAMICS.md:861,Historical book label retained for textual continuity; carries no independent release status.
D0-WINDOW-SCALE-DISCRIMINANT-FORCED-001,LEGACY_BOOK_LABEL,,BOOK_06_EVOLUTION_FORGETTING_AND_TIME.md:365,Historical book label retained for textual continuity; carries no independent release status.
D0-ZETA8-REGISTRY-001,LEGACY_BOOK_LABEL,,BOOK_02_MATHEMATICAL_PROOF_SPINE_AND_INVARIANT_CALCULUS.md:2627,Historical book label retained for textual continuity; carries no independent release status.

D0-ARCHIVE-WEYL-INTERFACE-VACUITY-NOGO-001,CANONICAL_TARGET,D0-ARCHIVE-WEYL-DIMENSION-VACUITY-NOGO-001,BOOK_06_EVOLUTION_FORGETTING_AND_TIME.md,Interface vacuity alias for archive Weyl dimension no-go.
D0-ALBERT-SM-GAUGE-DIMENSION-ALIGNMENT-001,CANONICAL_TARGET,D0-ALBERT-SM-GAUGE-PROJECTION-001,BOOK_02_MATHEMATICAL_PROOF_SPINE_AND_INVARIANT_CALCULUS.md,Dimension alignment alias for Albert SM gauge projection.
