claim_id,evidence_category,release_status,owner
D0-NO-GO-EDGE-STIFFNESS-SCALAR-LEAKAGE-001,NO-GO,NO-GO,D0.Geometry.EdgeStiffnessOrigin
D0-NO-GO-FLAT-TENSOR-NONABELIAN-001,NO-GO,NO-GO,D0.Gauge.FlatTensorNoGo
D0-GAUGE-NONABELIAN-DISCRETE-CURVATURE-001,CORE,CORE-FORMALIZED,D0.Gauge.NonAbelianDiscreteCurvature
D0-GAUGE-BIANCHI-RESIDUAL-BOUNDARY-001,NO-GO,NO-GO,D0.Gauge.BianchiResidual
D0-GAUGE-YANG-MILLS-KILLING-POSITIVITY-001,FORMALISM/PASSPORT,BRIDGE-ASSUMPTIONS-EXPLICIT,D0.Gauge.YangMillsKillingPositivity
D0-FINAL-BRIDGE-INDEX-001,CORE,CORE-FORMALIZED,D0.Bridge.FinalBridgeIndex
D0-HURWITZ-LOCAL-BOUNDARY-001,CORE,CORE-FORMALIZED,D0.Algebra.HurwitzLocalBoundary
D0-EXTERNAL-BACKGROUND-HURWITZ-GLOBAL-CLASSIFICATION-001,INACTIVE,EXTERNAL-BACKGROUND,D0.Algebra.D0InternalDimensionSelector
D0-GAUGE-MATRIX-REP-TRANSFORM-001,CORE,CORE-FORMALIZED,D0.Gauge.MatrixRepGaugeTransform
D0-NO-GO-ABSTRACT-LIERING-FINITE-TRANSFORM-001,NO-GO,NO-GO,D0.Gauge.MatrixRepGaugeTransform
D0-GAUGE-BIANCHI-GRADED-DEPRECATED-001,INACTIVE,DEPRECATED,D0.Gauge.MatrixRepGaugeTransform
D0-BRIDGE-SI-CALIBRATION-BOUNDARY-001,FORMALISM/PASSPORT,BRIDGE-CALIBRATION,D0.Bridge.SICalibrationBoundary
D0-HURWITZ-INTERNAL-DIMENSION-SELECTOR-001,CORE,CORE-FORMALIZED,D0.Algebra.D0InternalDimensionSelector
D0-GAUGE-WILSON-LINK-COVARIANCE-001,CORE,CORE-FORMALIZED,D0.Gauge.WilsonLinkGaugeCovariance
D0-NO-GO-NAIVE-LOCAL-GAUGE-COVARIANCE-001,NO-GO,NO-GO,D0.Gauge.WilsonLinkGaugeCovariance
D0-GRADED-BIANCHI-EXACT-001,CORE,CORE-FORMALIZED,D0.Gauge.GradedBianchiIdentity
D0-NO-GO-UNGRADED-BIANCHI-RESIDUAL-001,NO-GO,NO-GO,D0.Gauge.GradedBianchiIdentity
D0-BRIDGE-SI-CALIBRATION-CLOSURE-001,FORMALISM/PASSPORT,BRIDGE-CALIBRATION,D0.Bridge.SICalibrationClosure
D0-INTERPRETATION-SPINE-001,FORMALISM/PASSPORT,CORE_BRIDGE_SPLIT,D0.Bridge.InterpretationSpine
D0-TORUS-CORE13-GEOMETRY-001,CORE,CORE-FORMALIZED,D0.Geometry.TorusCore13GeometryOrigin
D0-TORUS-GENERATION-SELECTOR-001,CORE,CORE-FORMALIZED,D0.Matter.GenerationSelectorOrigin
D0-TORUS-GENERATION-OVERLAP-001,CORE,CORE-FORMALIZED,D0.Matter.GenerationOverlapResponseOrigin
D0-BORN-QUADRATIC-ORIGIN-001,CORE,CORE-FORMALIZED,D0.Core.BornQuadraticOrigin
D0-CKM-NONTRIVIAL-FLAVOUR-ALGEBRA-001,CORE,CORE-FORMALIZED,D0.Matter.CKMNontrivialFlavourAlgebra
D0-QUASI009-CKM-PHASON-HOLONOMY-001,CORE,CERT-CLOSED,vp_ckm_phason_holonomy_k0.py
D0-MESON-POSITIVE-DEFECT-TRANSFER-001,CORE,CORE-FORMALIZED,D0.Matter.MesonDefectTransferOrigin
D0-GRAVITY-ENTROPIC-ARCHIVE-001,CORE,CORE-FORMALIZED,D0.Gravity.EntropicArchiveInterface
D0-GRAVITY-MACRO-EINSTEIN-INTERFACE-001,FORMALISM/PASSPORT,CORE_BRIDGE_SPLIT,D0.Gravity.MacroEinsteinInterface
D0-TORAL-AUTOMORPHISM-GALOIS-BALANCE-001,CORE,CORE-FORMALIZED,D0.Dynamics.ToralAutomorphism;D0.Dynamics.GaloisConjugateBalance;D0.Dynamics.DarkSectorCoarseGrain
D0-TRACE-HEAT-CAPACITY-GRAVITY-001,FORMALISM/PASSPORT,CORE_BRIDGE_SPLIT,D0.Core.FixedDetectorTimeLadder;D0.Dynamics.TraceHeatCapacityGravity
D0-MASTER-EVOLUTION-001,CORE,CORE-FORMALIZED,D0.Dynamics.MasterEvolutionTheorem
D0-INFORMATION-QUASICRYSTAL-PHASE-UNFOLDING-001,CORE,CORE-FORMALIZED,D0.Geometry.HurwitzRigidPhaseGenerator;D0.Geometry.PhaseReturnBranchCount;D0.Geometry.PhaseUnfoldingQuasicrystal
D0-CONDENSED-PHI-VACUUM-CUT-PROJECT-001,CORE,CORE-FORMALIZED,D0.Condensed.CondensedPhiVacuum;D0.Physics.QuasicrystalPhenomenology
D0-QUASICRYSTAL-PHENOMENOLOGY-OPERATOR-ORIGIN-001,CORE,CORE-FORMALIZED,D0.Physics.QuasiGenerationsInflation;D0.Physics.ArchivePhasonDarkMatter;D0.Physics.WindowOffsetChirality;D0.Physics.PhasonFlipInertia;D0.Physics.WindowFractionalCharge;D0.Physics.QuasicrystalPhenomenology
D0-QUASI008-PHASON-FLIP-ENTROPY-SDE-001,CORE,CORE-FORMALIZED,D0.Cosmology.PhasonFlipEntropy
D0-QUASI006-GALOIS-LORENTZ-SIGNATURE-001,CORE,CORE-FORMALIZED,D0.Physics.GaloisLorentzSignature
D0-QUASI002-PHASON-STRAIN-GENERATIONS-BARYON-001,CORE,CORE-FORMALIZED,D0.Matter.PhasonStrainGenerations
D0-QUASI007-MESON-PHASON-DOMAIN-WALLS-001,CORE,CERT-CLOSED,vp_phason_domain_wall_mesons.py
D0-ICECUBE-001,EMPIRICAL,EMPIRICAL-PASSPORT,D0.Matter.NeutrinoPhasonWaves;D0.Passport.IceCubePhasonDecoherence
D0-NO-GO-STRESS-SUITE-001,NO-GO,NO_GO_PROVED,D0.NoGo.StressTestSuite
D0-HULL-001,CORE,CORE-FORMALIZED,D0.Claims.KTheoryGapModule
D0-KTHEORY-001,CORE,CERT-CLOSED,vp_gap_labeling_d0_tiling_hull.py
D0-SOLENOID-001,CORE,CERT-CLOSED,vp_noncommutative_solenoid_gravity.py
D0-SOLENOID-GRAVITY-001,CORE,CERT-CLOSED,vp_noncommutative_solenoid_gravity.py
D0-MESON-K0-001,CORE,CERT-CLOSED,vp_phason_domain_wall_mesons.py
D0-CKM-K0-001,CORE,CERT-CLOSED,vp_ckm_phason_holonomy_k0.py
D0-SDE-K0-001,CORE,CERT-CLOSED,vp_phason_flip_entropy_sde.py
D0-SRC-001,CORE,CORE-FORMALIZED,D0.Matter.NuclearShellContactSRC
D0-SRC-NOGO-001,NO-GO,NO_GO_PROVED,D0.Matter.NuclearShellContactSRC
D0-CVFT-001A,CORE,CORE-FORMALIZED,D0.Dynamics.InternalFeedbackResolvent;D0.Cosmology.FeedbackPartitionFunction
D0-CVFT-001B,PROOF-TARGET,PROOF-TARGET,
D0-CVFT-NOGO-001,NO-GO,NO_GO_PROVED,D0.Dynamics.InternalFeedbackResolvent;D0.Cosmology.FiniteFeedbackEquationOfState;D0.Matter.TerminalFeedbackModes;D0.Cosmology.SDEFeedbackReduction
D0-CVFT-F1,NO-GO,NO-GO,D0.Spectral.DeltaAlphaResidueBlocked
D0-CVFT-F2,PROOF-TARGET,PROOF-TARGET,vp_horizon_emission_conjugate_feedback.py
D0-CVFT-F3,CORE,CERT-CLOSED,vp_cvft_baryon_s3_scaffold.py
D0-CVFT-F3B,CORE,CORE-FORMALIZED,D0.Matter.BaryonSpinFlavourRanks
D0-CVFT-F4,CORE,CERT-CLOSED,vp_cvft_uv_feedback_tail_bound_refined.py;vp_cvft_ueff_pole_discipline.py
D0-CVFT-F5,PROOF-TARGET,PROOF-TARGET,
D0-CVFT-F6,PROOF-TARGET,PROOF-TARGET,vp_gauge_boundary_commutator_obstruction.py
D0-CVFT-F7,CORE,CERT-CLOSED,vp_cvft_boundary_channel_rank.py;vp_cvft_refined_logdet_rank_bound.py
D0-CVFT-F8,PROOF-TARGET,PROOF-TARGET,
D0-IM-001,CORE,CORE-FORMALIZED,D0.IM.SelfSubstrateTrace
D0-IM-002,CORE,CORE-FORMALIZED,D0.IM.FractalTick
D0-IM-003,CORE,CORE-FORMALIZED,D0.IM.ContinuumFromFractalTick
D0-IM-004,CORE,CORE-FORMALIZED,D0.Topology.WitnessHalting
D0-FOUND-004,CORE,CORE-FORMALIZED,D0.Core.BornQuadraticResponse
D0-GRAV-004,CORE,CORE-FORMALIZED,D0.Gravity.MeasurementHorizonEquivalence
D0-GRAV-005,CORE,CORE-FORMALIZED,D0.Gravity.OpticalJetBackreaction
D0-IM-005,CORE,CORE-FORMALIZED,D0.IM.FractalContinuumAndWitnessHalting
D0-GRAV-006,CORE,CORE-FORMALIZED,D0.Gravity.HorizonJetAndBaryonPole
D0-EDGE-001,INACTIVE,DEPRECATED,
D0-EDGE-002,PROOF-TARGET,PROOF-TARGET,
D0-EDGE-ALPHA-001,CORE,CORE-FORMALIZED,D0.Spectral.ZetaResidueAlpha
D0-IM-COSMO-001,CORE,CORE-FORMALIZED,D0.Cosmology.ArchiveConvexity
D0-IM-COSMO-002,CORE,CORE-FORMALIZED,D0.IM.ArchivePressureCoupling
D0-IM-COSMO-003,CORE,CORE-FORMALIZED,D0.IM.StrongLogdetPressure
D0-IM-COSMO-004,CORE,CORE-FORMALIZED,D0.IM.LogdetSecondResponse
D0-PUB-001,PROOF-TARGET,PROOF-TARGET,
D0-QUANT-MET-001,CORE,CORE-FORMALIZED,D0.Metrology.QuantumLimits
D0-QUANT-MET-002,CORE,CORE-FORMALIZED,D0.Metrology.PSDPurification
D0-QUANT-MET-003,PROOF-TARGET,PROOF-TARGET,D0.Metrology.Phi2Flux
D0-QUANT-MET-004,PROOF-TARGET,PROOF-TARGET,D0.Metrology.PhasonBragg
D0-XI5-TORUS-DEFECT-001,CORE,CORE-FORMALIZED,D0.Claims.Xi5TorusDefect
D0-VIETA-GALOIS-ABCD-001,CORE,CORE-FORMALIZED,D0.Claims.VietaGaloisAbcd
D0-KERNEL-ZONE-SPLIT-001,CORE,CORE-FORMALIZED,D0.Claims.KernelZoneSplit
D0-DIM-LADDER-COMPACT-001,CORE,CORE-FORMALIZED,D0.Claims.DimLadderCompact
D0-BH-CAPACITY-A4-001,CORE,CORE-FORMALIZED,D0.Gravity.BlackHoleCapacityA4
D0-HODGE-001,CORE,CORE-FORMALIZED,D0.Topology.BoundaryBoundary;D0.Topology.FiniteCochainNoAxion
D0-MINCUT-001,CORE,CERT-CLOSED,vp_finite_mincut_holographic_entropy.py
D0-SPIN2-001,CORE,CORE-FORMALIZED,D0.Claims.Spin2TT
D0-SPECTRAL-EINSTEIN-001,PROOF-TARGET,PROOF-TARGET,
D0-NOAXION-001,CORE,CORE-FORMALIZED,D0.Topology.FiniteCochainNoAxion
D0-NONABELIAN-SEAM-001,CORE,CORE-FORMALIZED,D0.Claims.NonabelianSeamGap
D0-HODGE-LINKS-001,PROOF-TARGET,PROOF-TARGET,
D0-MASTER-BOOTSTRAP-001,CORE,CERT-CLOSED,vp_master_bootstrap_and_volume_derivative.py
D0-MESON-DEFECT-ALGEBRA-001,CORE,CERT-CLOSED,vp_meson_defect_transfer_algebra.py
D0-HIGGS-YUKAWA-001,CORE,CORE-FORMALIZED,D0.Claims.HiggsYukawaBlock
D0-CANONICAL-OP-001,CORE,CERT-CLOSED,vp_canonical_operator_search.py
D0-CKM-EXACT-001,CORE,CORE-FORMALIZED,D0.Claims.CkmExactMatrix
D0-LEPTON-002,CORE,CERT-CLOSED,vp_charged_lepton_transfer_certificate.py
D0-NEUTRON-002,CORE,CERT-CLOSED,vp_neutron_lifetime_rate_closure.py
D0-PROTON-001,CORE,CORE-FORMALIZED,D0.Matter.ProtonReadout306
D0-GRAV-002,CORE,CERT-CLOSED,vp_single_section_gravity_completion.py
D0-EW-002,CORE,CERT-CLOSED,vp_higgs_anchor_projector.py
D0-FTHEORY-001,CORE,CERT-CLOSED,vp_ftheory_lw2016_d0_filter.py
D0-FTHEORY-002,CORE,CERT-CLOSED,vp_ftheory_lw2016_chiral_recombination_layer.py
D0-BARYON-S3-SYM-001,CORE,CORE-FORMALIZED,D0.Matter.PhasonStrainGenerations
D0-BOOK04-SELECTORS-001,CORE,CORE-FORMALIZED,D0.Claims.Book04Selectors
D0-BOOK04-SELECTORS-002,CORE,CORE-FORMALIZED,D0.Matter.Book04CombinatorialSelectorOrigins
D0-HEAT-TRACE-FIT-001,CORE,CERT-CLOSED,vp_archive_heat_trace_expansion_fit.py
D0-METRO-002,CORE,CERT-CLOSED,vp_calibration_dag_and_lambda_section_rigidity_20260522.py
D0-COSMO-003,CORE,CERT-CLOSED,vp_boundary_dark_survey_driver_kernel.py
D0-COSMO-002,CORE,CERT-CLOSED,vp_final_survey_likelihood_and_baryon_form_factor_closure_20260522.py
D0-DUSTY-PLASMA-001,PROOF-TARGET,PROOF-TARGET,vp_dusty_plasma_d0_mapping.py
D0-CRITICAL-COLLAPSE-001,FORMALISM/PASSPORT,CORE_BRIDGE_SPLIT,vp_critical_collapse_dss_echo_lattice.py
D0-PASSPORT-CORE13-001,EMPIRICAL,EMPIRICAL-PASSPORT,vp_core13_shell_geometry_passport.py
D0-PASSPORT-DESI-BAO-001,PROOF-TARGET,PROOF-TARGET,vp_desi_bao_sde_failure_diagnostics.py
D0-PASSPORT-ICECUBE-HESE-001,PROOF-TARGET,PROOF-TARGET,vp_icecube_hese_baseline_comparison.py
D0-PASSPORT-LIGO-CATALOG-001,PROOF-TARGET,PROOF-TARGET,vp_ligo_merger_mass_defect_current_catalog.py
D0-PASSPORT-PDG-STRICT-001,EMPIRICAL,EMPIRICAL-PASSPORT,vp_pdg_strict_passport.py
D0-PASSPORT-SPARC-001,PROOF-TARGET,PROOF-TARGET,vp_sparc_hull_boundary_response_kernel.py
D0-NOGO-LIGO-DISCOVERY-001,NO-GO,NO-GO,vp_ligo_discovery_negative_control.py
D0-Q8-DEDEKIND-MINIMALITY-001,CORE,CORE-FORMALIZED,D0.Claims.Q8DedekindMinimality
D0-WINDOW44-GROUP-SPECTRUM-001,CORE,CORE-FORMALIZED,D0.Claims.Window44GroupSpectrum
D0-TIME-2D-PISOT-001,CORE,CORE-FORMALIZED,D0.Claims.Time2DPisot
D0-MIXING-HIERARCHY-INVERSION-001,CORE,CORE-FORMALIZED,D0.Claims.MixingHierarchyInversion
D0-SIGNATURE-31-SPLIT-001,CORE,CORE-FORMALIZED,D0.Claims.Signature31Split
D0-ALPHA-ZETA-RESIDUE-001,CORE,CORE-FORMALIZED,D0.Spectral.ZetaResidueAlpha
D0-Z2-SPINOR-COVER-001,CORE,CORE-FORMALIZED,D0.Synthesis.Z2SpinorCover
D0-TIME-MODULAR-FLOW-001,CORE,CERT-CLOSED,vp_quasicrystal_time_sturmian.py
D0-CARRIER-FULL-FORCING-001,CORE,CORE-FORMALIZED,D0.Synthesis.CarrierForcing
D0-SYMPLECTIC-GLEASON-001,CORE,CORE-FORMALIZED,D0.Synthesis.CarrierForcing
D0-CLASS5-ALIASING-001,CORE,CORE-FORMALIZED,D0.Claims.Class5Aliasing
D0-VACUUM-CUBIC-WINDOW-001,CORE,CERT-CLOSED,vp_vacuum_cubic_window.py
D0-GRAVASTAR-FORMATION-BRIDGE-001,CORE,CERT-CLOSED,vp_gravastar_os_arrest.py
D0-COMPACTNESS-LIMIT-001,CORE,CERT-CLOSED,vp_gravastar_compactness.py
D0-GRAVASTAR-GW-FALSIFIER-001,EMPIRICAL,EMPIRICAL-PASSPORT,vp_gravastar_gw_falsifier.py
D0-PHASON-FORCING-001,CORE,CERT-CLOSED,vp_phason_forcing.py
D0-PMNS-DELTA0-NUFIT-001,EMPIRICAL,EMPIRICAL-PASSPORT,vp_pmns_delta0_nufit.py;vp_pmns_baseline_correction.py
D0-H0-EVOLVING-W-001,PROOF-TARGET,PROOF-TARGET,vp_h0_evolving_w.py
D0-PHASON-THAWING-001,CORE,CORE-FORMALIZED,D0.Cosmology.ArchiveConvexity
D0-E8-COLDEA-ANCHOR-001,CORE,CERT-CLOSED,vp_e8_coldea_anchor.py
D0-RANK3-CAUSAL-CONE-001,CORE,CORE-FORMALIZED,D0.Synthesis.RankCausalCone
D0-DELTA-ALPHA-EXACT-001,CORE,CORE-FORMALIZED,D0.Spectral.DeltaAlphaExact
D0-DELTA-ALPHA-MOMENT-001,CORE,CORE-FORMALIZED,D0.Spectral.DeltaAlphaMoment
D0-MASS-CHAIN-001,CORE,CERT-CLOSED,vp_mass_chain_alpha.py
D0-KTHEORY-GAP-MODULE-001,CORE,CORE-FORMALIZED,D0.Claims.KTheoryGapModule
D0-EW-WINDOW-FORCING-001,CORE,CERT-CLOSED,vp_ew_window_forcing.py
D0-HIGGS-CUBE-DIAGONAL-001,FORMALISM/PASSPORT,BRIDGE-CALIBRATION,vp_higgs_cube_forcing.py
D0-COMPACTNESS-DEF-FORCING-001,CORE,CORE-FORMALIZED,D0.Gravity.CompactnessLimit
D0-PHI99-DEPTH-FORCING-001,CORE,CERT-CLOSED,vp_phi99_depth_forcing.py
D0-ICOSIAN-E8-GRAM-001,CORE,CORE-FORMALIZED,D0.Claims.IcosianE8GramFinite
D0-JONES-INDEX-PHI-001,CORE,CORE-FORMALIZED,D0.Claims.JonesIndexPhi
D0-CONNES-RECONSTRUCTION-OWNER-001,FORMALISM/PASSPORT,BRIDGE-ASSUMPTIONS-EXPLICIT,D0.Bridge.ConnesReconstructionBridge
D0-DIXMIER-RESIDUE-OWNER-001,FORMALISM/PASSPORT,BRIDGE-ASSUMPTIONS-EXPLICIT,D0.Bridge.DixmierTraceBridge
D0-RIEFFEL-GHP-CONTINUUM-OWNER-001,FORMALISM/PASSPORT,BRIDGE-ASSUMPTIONS-EXPLICIT,D0.Bridge.RieffelGHPBridge
D0-TIME-MODULAR-FLOW-OWNER-001,FORMALISM/PASSPORT,BRIDGE-ASSUMPTIONS-EXPLICIT,D0.Bridge.TomitaTakesakiBridge
D0-DIM8-NETWORK-001,CORE,CORE-FORMALIZED,D0.Synthesis.DimensionEightNetwork
D0-FIBONACCI-IF-FORCING-001,CORE,CERT-CLOSED,D0.Claims.FibonacciIfBridge
D0-ADLER-WEISS-PARTITION-OWNER-001,FORMALISM/PASSPORT,BRIDGE-ASSUMPTIONS-EXPLICIT,D0.Bridge.AdlerWeissBridge
D0-PACKING-LIMIT-001,CORE,CERT-CLOSED,vp_packing_limit_probe.py
D0-COMPLEX-QM-FORCING-001,FORMALISM/PASSPORT,BRIDGE-ASSUMPTIONS-EXPLICIT,D0.Bridge.ComplexQMBridge
