chunk_id,layer,book,kind,marker,concept,present_in_v14,v14_locations,verdict,target_section,strength,note,critic_flag,critic_note
golden-BOOK-I-ARCHITECTURE-0017,golden,BOOK-I-ARCHITECTURE,REM,"[REM 0.3.0.A] (Это не метафизика, а операциональность).",REM 0.3.0.A: operationality not metaphysics — not 'everything is bits' but everything in the corpus needs finite code form + finite distinguishability test,partial,BOOK_00 sect00.2; BOOK_00 sect00.13,integrate,BOOK_00.3,peripheral,v14 conveys the finite-record primitive but does not explicitly disclaim the metaphysical 'all is bits' reading vs the operational 'must have finite code + test' requirement,,
golden-BOOK-I-ARCHITECTURE-0018,golden,BOOK-I-ARCHITECTURE,DEF,[DEF 0.3.1] (Экзогенная параметризация / фоновая зависимость). Экзогенная параметризация (далее: «экзогенные параметры») — это обязательная для работы теории до,"DEF 0.3.1 exogenous parameterization / background dependence: required-but-underivable structure (constant tables, exception lists) affecting results; SM mass list as example",partial,BOOK_00 sect00.9; BOOK_00 sect00.9a; BOOK_01 sect01.18a,integrate,BOOK_00.9,core-forcing,"M1 failure mode: v14 references 'external catalogue' and forbids fitted tables, but the precise 3-clause definition of an exogenous/background parameter (underivable + outcome-affecting + not protocol-inevitable, SM mass table example) — the object M1 forbids — is not defined explicitly",,
golden-BOOK-I-ARCHITECTURE-0019,golden,BOOK-I-ARCHITECTURE,DEF,[DEF 0.3.1a] (Обязательность экзогенной параметризации).,DEF 0.3.1a obligatoriness of an exogenous parameter K: mandatory iff some corpus procedure (prediction/VER/reproduction) is impossible without K,no,,integrate,BOOK_00.9,supporting,the operational test distinguishing a mandatory exogenous parameter from an optional format convention (K needed for prediction/check/reproduction) is absent from v14; this is what makes the M1 dichotomy decidable,,
golden-BOOK-I-ARCHITECTURE-0020,golden,BOOK-I-ARCHITECTURE,DEF,"[DEF 0.3.3] (Критерий Реализуемости Различимости). Формализация считается реализуемой, только если:","DEF 0.3.3 realizability-of-distinguishability criterion: finite-code procedures, reproducible (object- not observer-dependent), independent of underivable catalogs",partial,BOOK_00 sect00.3; BOOK_01 sect01.3,integrate,BOOK_00.3,supporting,"v14 admissible-measurement skeleton and no-monopoly rule cover finiteness + reproducibility, but the three explicit realizability clauses (finite code, observer-independence, no-catalog-dependence) are not gathered as a named criterion DEF 0.3.3 that later contradiction proofs cite",,
golden-BOOK-I-ARCHITECTURE-0021,golden,BOOK-I-ARCHITECTURE,SECTION,D0 §0.4 — Принцип M1: Запрет Обязательного Внешнего Каталога,"D0 sect0.4 header: Principle M1 = ban on a mandatory external catalog, the central correctness rule cutting off non-falsifiable extensions",partial,BOOK_00 sect00.9; BOOK_01 sect01.3,integrate,BOOK_00.9,core-forcing,v14 has 'no-monopoly verification' but never names M1 nor frames it as THE central correctness law that severs infinitely-flexible non-falsifiable extensions,,
golden-BOOK-I-ARCHITECTURE-0022,golden,BOOK-I-ARCHITECTURE,THE,"[THE 0.4.1] (M1). Если две конструкции задают один и тот же класс различимых исходов, то конструкция, требующая дополнительного обязательного внешнего каталога/","THE 0.4.1 (M1): if two constructions give the same class of distinguishable outcomes, the one needing an extra mandatory external catalog/parameter is inadmissible",partial,BOOK_00 sect00.9; BOOK_00 sect00.2; BOOK_01 sect01.3,integrate,BOOK_00.9,core-forcing,"M1 failure mode: M1 is the single law the entire spine is forced from, yet v14 keeps only the downstream effects (no-monopoly, no fitted catalog) and never states M1 itself as a named theorem with its 'same distinguishable class -> drop the catalog-heavy construction' content",,
golden-BOOK-I-ARCHITECTURE-0023,golden,BOOK-I-ARCHITECTURE,REM,[REM 0.4.1.MDL] (Связь с MDL/Колмогоровской сложностью).,"REM 0.4.1.MDL: M1 = MDL for physical laws; adding underivable theta moves K(T) to K(T)+K(theta|T), increasing min description length",no,,integrate,BOOK_00.9,core-forcing,M1 failure mode: the Kolmogorov/MDL formalization of M1 (exogenous parameter = strictly longer minimal description at equal distinguishable class) is entirely absent from v14 — this is the precise WHY that grounds M1 as a description-length principle,,
golden-BOOK-I-ARCHITECTURE-0024,golden,BOOK-I-ARCHITECTURE,COR,[COR 0.4.3] (M1 как условие возможности аксиоматического корпуса).,"COR 0.4.3: M1 as condition of possibility for an axiomatic corpus — without it no 'end' of definition/proof; collapses axiom vs ad hoc, theorem vs fit, refutation vs rescue",no,,integrate,BOOK_00.9,core-forcing,M1 failure mode: the deepest forcing argument — that M1 is not a physics claim but the minimal condition under which the THE/LEM/DEF language is meaningful at all — is missing from v14; this is the keystone justification for the whole method,,
golden-BOOK-I-ARCHITECTURE-0025,golden,BOOK-I-ARCHITECTURE,LEM,[LEM 0.4.1a] (Дихотомия добавки).,"LEM 0.4.1a dichotomy of an addition K: either K changes the distinguishable class (must be derived) or it doesn't (then mandatory K = external catalog, banned by M1)",no,,integrate,BOOK_00.9,core-forcing,"M1 failure mode: this dichotomy lemma is the operational blade that turns M1 into a decision procedure (its proof: a mandatory-but-distinguishability-neutral parameter forces dependence on an unfalsifiable convention, contradicting DEF 0.3.3); absent from v14",,
golden-BOOK-I-ARCHITECTURE-0026,golden,BOOK-I-ARCHITECTURE,COR,"[COR 0.4.2] (Разрешённые конвенции). Разрешено фиксировать формат записи (порядок символов, алфавит), если это не добавляет новой информации, а служит лишь спос","COR 0.4.2 allowed conventions + EX 0.4.3: A=B+C admits infinite family A=B+C+eps_n; without M1 'why stop here' has no answer, zeroing a term becomes an arbitrary catalog choice",partial,BOOK_00 sect00.9; BOOK_00 sect00.12,integrate,BOOK_00.9,core-forcing,"v14 allows format conventions and bars hidden anchors, but the infinite-recursion motivation (the A=B+C+... family and 'why did you stop' = need for M1 to terminate description) is dropped; this is the intuition pump that makes M1 necessary",,
golden-BOOK-I-ARCHITECTURE-0027,golden,BOOK-I-ARCHITECTURE,LEM,"[LEM 0.4.4] (Почему «перебор альтернатив» не работает). Нельзя доказать истинность теории методом перебора: ""Вариант 1 неверен, Вариант 2 неверен... значит, мой",LEM 0.4.4: enumeration of alternatives cannot prove a theory (infinite equivalent-extension family never terminates); must take the uniquely-forced object not the 'best' one,partial,BOOK_00 sect00.9; BOOK_00 sect00.23,integrate,BOOK_00.9,core-forcing,"M1 failure mode: v14's hostile-reading question ('could a different admissible expression hit the benchmark?') is adjacent, but the explicit principle 'we take the only-possible, never select the best, because enumeration over an infinite family never ends' is not stated — this is the forcing-vs-fitting distinction",,
golden-BOOK-I-ARCHITECTURE-0028,golden,BOOK-I-ARCHITECTURE,THE,[THE 0.4.5] (Синтез M1+ с редукцией ⟂). Каноничность выбора доказывается только схемой: A) Предположить существование эквивалентного описания меньшей сложности ,THE 0.4.5 synthesis of M1+ with reduction: canonicity proved only by assuming a smaller/other equivalent description and showing it violates M1 or the canonization rule,no,,integrate,BOOK_00.8,core-forcing,M1 failure mode: the canonical proof template for minimality/uniqueness (assume cheaper description -> show M1 or canon violation -> conclude minimal-canonical) is absent; v14 asserts uniqueness per-result without this reusable forcing schema,,
golden-BOOK-I-ARCHITECTURE-0029,golden,BOOK-I-ARCHITECTURE,SECTION,D0 §0.5 — Конструктивная форма M1+ (Операционное правило),D0 sect0.5 header: constructive form M1+ (operational rule) — how to realize M1 in code/math,,,skip,,peripheral,non-conceptual (nav/registry),,
golden-BOOK-I-ARCHITECTURE-0030,golden,BOOK-I-ARCHITECTURE,DEF,"[DEF 0.5.1] (Коды). $C$ — конечный алфавит, $C^*$ — множество конечных строк.","DEF 0.5.1 codes: C finite alphabet, C* finite strings",partial,BOOK_00 sect00.5; BOOK_00 sect00.13,integrate,BOOK_01.4,peripheral,v14 works over finite/profinite supports but does not fix the primitive code alphabet C and string monoid C* as the explicit substrate for the canonization machinery,,
golden-BOOK-I-ARCHITECTURE-0031,golden,BOOK-I-ARCHITECTURE,DEF,[DEF 0.5.2] (Порядок минимальности). Зададим полный порядок $\preceq$ на $C^*$:,DEF 0.5.2 minimality order: s<=t iff |s|<|t| or (|s|=|t| and s<=_lex t) — shortlex order on C*,no,,integrate,BOOK_01.4,supporting,the explicit shortlex minimality order that makes Can(S) well-defined and choice-free is absent from v14; without it the M1+ 'take the minimum' canonization is not operational,,
golden-BOOK-I-ARCHITECTURE-0032,golden,BOOK-I-ARCHITECTURE,DEF,[DEF 0.5.3] (Канон класса). Для множества эквивалентных описаний $S$:,DEF 0.5.3 canon of a class: Can(S) := min_<=(S) over the minimality order,no,,integrate,BOOK_01.4,supporting,the M1+ canon operator Can(S)=min over shortlex (the constructive device that removes the 'index of a chosen representative' exogenous parameter) is not present in v14,,
golden-BOOK-I-ARCHITECTURE-0033,golden,BOOK-I-ARCHITECTURE,LEM,[LEM 0.5.3a] (Идемпотентность канонизации; CORE).,LEM 0.5.3a idempotence of canonization (CORE): Can({Can(S)})=Can(S) and Can(S) in S,no,,integrate,BOOK_01.4,supporting,"idempotence + membership of the canon operator (well-formedness guaranteeing Can is a genuine choice-free normal form) is absent; v14 'canonical' refers to Laplacians/stress, not this code-normalization lemma",,
golden-BOOK-I-ARCHITECTURE-0034,golden,BOOK-I-ARCHITECTURE,THE,"[THE 0.5.4] (M1+: Канонизация как единственная допустимая «добавка»). Пусть $S$ — множество всех представлений, эквивалентных по смыслу (описывающих один и тот ",THE 0.5.4 (M1+): canonization is the only admissible 'addition'; any mandatory in-class distinction not reducible to Can(S) is a banned external catalog; the choice index is an exogenous parameter,no,,integrate,BOOK_00.9,core-forcing,"M1 failure mode: M1+ (the constructive companion to M1 that halts the description recursion via canonization, proving the representative-choice index is exogenous) is the second half of the foundational law and is entirely absent from v14",,
golden-BOOK-I-ARCHITECTURE-0035,golden,BOOK-I-ARCHITECTURE,THE,"[THE 0.5.6] (Недопустимость «смысловых» канонизаций без протокола). Запрещено использовать канонизацию вида ""упростим уравнение"", если правила упрощения не зада",THE 0.5.6: no 'semantic' canonization without an explicit finite algorithm; 'intuitive simplicity' = author-preference exogenous parameter; only algorithmic code minimization allowed,partial,BOOK_00 sect00.9; BOOK_00 sect00.13,integrate,BOOK_00.9,supporting,"v14 bars 'numerical match is not a theorem' but does not state the specific ban on intuitive/semantic simplification (only an explicit finite minimization algorithm is admissible), a key M1+ guard against smuggled author preference",,
golden-BOOK-I-ARCHITECTURE-0036,golden,BOOK-I-ARCHITECTURE,SECTION,D0 §0.5.7 — Инвариантность кодировки и проверка внешних таблиц,D0 sect0.5.7 header: encoding invariance and checking external tables,,,skip,,peripheral,non-conceptual (nav/registry),,
golden-BOOK-I-ARCHITECTURE-0037,golden,BOOK-I-ARCHITECTURE,LEM,[LEM 0.5.7a] (Инвариантность смысла при смене представления).,LEM 0.5.7a meaning invariance under representation change: computable bijection f preserving equivalence and Delta gives D'_min(X)=f(D_min(X)); code/alphabet change preserves distinguishability,no,,integrate,BOOK_01.4,supporting,representation-invariance of the minimal code (the property the corpus relies on when claiming CORE invariants are representation-independent) is not proved in v14 as an explicit lemma; only asserted as a CORE property elsewhere,,
golden-BOOK-I-ARCHITECTURE-0038,golden,BOOK-I-ARCHITECTURE,CHK,[CHK 0.5.7b] (Когда «смена кодировки» становится внешним каталогом).,CHK 0.5.7b: an encoding change becomes an external catalog when f is not given by an internal finite algorithm (relies on an external lookup table) -> banned by M1,partial,BOOK_00 sect00.9a; BOOK_00 sect00.12,integrate,BOOK_00.9,supporting,"v14 bans hidden anchors / external tables generally, but the specific check that a translation map f must be an internal finite algorithm (else it is an exogenous translation parameter) is not stated",,
golden-BOOK-I-ARCHITECTURE-0039,golden,BOOK-I-ARCHITECTURE,SECTION,D0 §0.6 — Глоссарий Базовых Объектов (Аксиоматика),D0 sect0.6 header: glossary of base objects (axiomatics),,,skip,,peripheral,non-conceptual (nav/registry),,
golden-BOOK-I-ARCHITECTURE-0040,golden,BOOK-I-ARCHITECTURE,SECTION,"D0 §0.6.A — Граница CORE/BRIDGE (канонические определения, перенесены вперед из более поздней редакции корпуса)","DEF 19.0.1/19.0.2 brought forward: CORE = derivable only from axioms in internal algebra Q(phi), finite/constructive/representation-invariant, eps^2 gluing threshold; BRIDGE = packaging CORE into SI/PDG observables with explicit translation + falsification",partial,BOOK_00 sect00.13; BOOK_00 sect00.14; BOOK_02 sect02.22; BOOK_05 sect05,integrate,BOOK_00.13,core-forcing,"v14 enforces a pervasive core-vs-bridge/passport discipline, but drops the precise CORE definition clauses (derivable in Q(phi), the eps^2 inter-derivation gluing threshold 'two derivations differing by more than eps^2 are not the same statement') and the explicit BRIDGE protocol obligations",,
golden-BOOK-I-ARCHITECTURE-0041,golden,BOOK-I-ARCHITECTURE,DEF,[DEF 0.6.1] Символы:,"DEF 0.6.1 symbols: C, C* alphabet/strings; |.| code length",,,skip,,peripheral,non-conceptual (nav/registry),,
golden-BOOK-I-ARCHITECTURE-0042,golden,BOOK-I-ARCHITECTURE,DEF,"[DEF 0.6.2] История ($R$): Последовательность кадров $R(n)$, фиксирующая состояние системы.",DEF 0.6.2 history R: sequence of frames R(n) fixing system state,partial,BOOK_06 sect06; BOOK_01 sect01.9,integrate,BOOK_06.1,peripheral,"v14 has discrete evolution steps and the single line/tick section, but the primitive 'history = sequence of frames R(n)' object is not defined as such; minor",,
golden-BOOK-I-ARCHITECTURE-0043,golden,BOOK-I-ARCHITECTURE,DEF,[DEF 0.6.3] (Агент доступа / наблюдатель как проекция).,DEF 0.6.3 observer as projection: O is not a subject but a map pi_O: Hist -> Obs_O; two histories indistinguishable for O iff pi_O(g1)=pi_O(g2),partial,BOOK_00 sect00.1; BOOK_00 sect00.v15; BOOK_06,integrate,BOOK_00.v15,supporting,"v14 'observer is not primitive / detector is an internal terminal readout node' and 'forgetting = conditional expectation/partial trace' carry the spirit, but the explicit definition of the observer as a projection pi_O with indistinguishability = equal projection is not stated as a definition",,
golden-BOOK-I-ARCHITECTURE-0044,golden,BOOK-I-ARCHITECTURE,DEF,"[DEF 0.6.4] Различимость ($\Delta$): Процедура (тест), возвращающая 0 (нет отличия) или 1 (есть отличие).",DEF 0.6.4 distinguishability Delta: test returning 0 (no difference) or 1 (difference),yes,BOOK_00 sect00.3; BOOK_01 sect01.3,already-present,BOOK_00.3,supporting,finite binary distinguishability is a first-class admissibility obligation in BOOK_00 sect00.3 and the measurement dyad in BOOK_01 sect01.3; fact + role both present,,
golden-BOOK-I-ARCHITECTURE-0045,golden,BOOK-I-ARCHITECTURE,DEF,[DEF 0.6.5] Кодирование ($D_{\min}$): $D_{\min}(X) = \mathrm{Can}(\mathrm{Enc}(X))$. Единственный способ сослаться на объект.,DEF 0.6.5 encoding D_min(X)=Can(Enc(X)) as the unique way to reference an object,no,,integrate,BOOK_01.4,supporting,the composite D_min = Can o Enc (minimal canonical code as the sole admissible reference to an object) depends on the absent Can machinery and is not present in v14,,
golden-BOOK-I-ARCHITECTURE-0046,golden,BOOK-I-ARCHITECTURE,DEF,[DEF 0.6.6] Состояния и Переход:,"DEF 0.6.6 states and transition: State (set of distinguishable objects), oplus (composition), P(S,T) (mediator/transition)",partial,BOOK_00 sect00.2; BOOK_03,integrate,BOOK_03.1,peripheral,"v14 has composition and transition/action operators downstream, but the primitive triple (State, oplus, mediator P(S,T)) is not stated as a foundational glossary definition",,
golden-BOOK-I-ARCHITECTURE-0047,golden,BOOK-I-ARCHITECTURE,SECTION,D0 §0.7 — Итог Пролога,D0 sect0.7 prologue summary: I.1 sets a hard filter; no entity admitted unless its absence breaks distinguishability or forces an external catalog; later chapters apply M1 to a blank slate,partial,BOOK_00 sect00.2; BOOK_00 sect00.23,integrate,BOOK_00.2,supporting,v14 carries the 'no decorative entity' filter but drops the explicit programmatic statement that all of I.2-I.4 = applying M1 to the empty slate ('what is minimally needed to distinguish anything?') to derive the structure of the universe,,
golden-BOOK-I-ARCHITECTURE-0048,golden,BOOK-I-ARCHITECTURE,SECTION,## CHAPTER I.2 — Структура различимости Σ,CHAPTER I.2 header 'Structure of distinguishability Sigma',,,skip,,peripheral,non-conceptual (nav/registry),,
golden-BOOK-I-ARCHITECTURE-0049,golden,BOOK-I-ARCHITECTURE,SECTION,D0 §1 — Σ как критерий,D0 sect1 header: Sigma as a criterion,,,skip,,peripheral,non-conceptual (nav/registry),,
golden-BOOK-I-ARCHITECTURE-0050,golden,BOOK-I-ARCHITECTURE,SECTION,D0 §1.1.0 — Цель и рамка: Σ как критерий,Sigma as realizability criterion (not invented physics); object-type->C* code table under M1,no,,integrate,BOOK_01.1,core-forcing,"M1 failure mode: v14 starts from dyad/no-monopoly and p+p^2=1, never frames Sigma as the realizability gate any theory of distinguishable objects must implement, nor the object-type->code table whose entries break under M1. Forcing framing absent.",,
golden-BOOK-I-ARCHITECTURE-0051,golden,BOOK-I-ARCHITECTURE,LEM,[LEM 1.1.0a.1] (Каноническая запись как обязательный объект истории). Пусть утверждение представлено кодом $s$. Множество всех его эквивалентных представлений (,LEM 1.1.0a.1: canonical record Can(s)=min_<=([s]_equiv) forced by contradiction (no exogenous synonym catalog),partial,BOOK_00 (uses 'canonical' informally); BOOK_01 §01,integrate,BOOK_01.1,supporting,v14 uses 'canonical proof order'/'canonical' loosely but never states Can=min_<= nor the M1 bottom proof that without canonization two equivalent records read as distinct events requiring an exogenous synonym table. Forcing dropped.,,
golden-BOOK-I-ARCHITECTURE-0052,golden,BOOK-I-ARCHITECTURE,THE,"[THE 1.1.0b] (Σ не является тавтологией). Структура $\Sigma$ — это не определение слова «различимость». Это набор условий, без которых процесс различения технич",THE 1.1.0b: Sigma is not a tautology; per-component bottom-reduction (drop R / C* / Delta each collapses theory),no,,integrate,BOOK_01.1,core-forcing,Absent. The per-component contradiction proof (dropping History/Code/Test each breaks reproducibility/falsifiability) is the load-bearing 'why each Sigma component is forced' argument; v14 has none of it.,,
golden-BOOK-I-ARCHITECTURE-0053,golden,BOOK-I-ARCHITECTURE,SECTION,D0 §1.1.1 — Определение Структуры Σ (DEF 1.1.1),"DEF 1.1.1: distinguishability tuple Sigma=(C,C*,D_min,Delta,R,O) with each component defined",no,,integrate,BOOK_01.1,core-forcing,"The formal Sigma tuple (finite alphabet C, code space C*, minimal-description D_min, distinguishability predicate Delta, history R, observer O) is the architectural spine of BOOK-I and is entirely absent from v14, which begins downstream at the dyad.",,
golden-BOOK-I-ARCHITECTURE-0054,golden,BOOK-I-ARCHITECTURE,LEM,"[LEM 1.1.1a] $\mathrm{Query}_O$ не является внешним каталогом, так как не добавляет данных, а лишь читает $R$.","LEM 1.1.1a: Query_O is not an external catalog (reads R, adds no data)",no,,integrate,BOOK_01.1,supporting,Absent. Establishes observer access is catalog-free (M1-compliant). v14 says 'observer is not a primitive' (BOOK_00) but never the Query_O-as-projection-of-R argument.,,
golden-BOOK-I-ARCHITECTURE-0055,golden,BOOK-I-ARCHITECTURE,SECTION,D0 §1.1.3 — Метод бинарной развилки,Binary-fork proof method (branch A absent / B present / C alternative needs external catalog),no,,integrate,BOOK_01.1,core-forcing,Absent. This is the reusable forcing-template (the standard three-branch M1 contradiction schema) used to prove necessity of every component; v14 keeps individual results but never the meta-method that generates them.,,
golden-BOOK-I-ARCHITECTURE-0056,golden,BOOK-I-ARCHITECTURE,SECTION,D0 §1.1.4 — Логические уровни L = 1-5,"Logical maturity levels L1..L5 (Code/Canon/Test/History/Access) as roles, not space dimensions",no,,integrate,BOOK_01.1,supporting,"Absent. The L1-L5 maturity ladder (and the warning that these are organization levels, not spatial dimensions) is a useful elaboration not present in v14.",,
golden-BOOK-I-ARCHITECTURE-0057,golden,BOOK-I-ARCHITECTURE,SECTION,D0 §1.1.5 — [INV_1] Инвариант шкалы C,Section header for INV_1 (scale invariant C),,,skip,,peripheral,non-conceptual (nav/registry),,
golden-BOOK-I-ARCHITECTURE-0058,golden,BOOK-I-ARCHITECTURE,LEM,[LEM 1.1.5.2] (Необходимость единого пространства кодов). Тезис: Реализуемая вселенная обязана иметь единую онтологию кодов.,LEM 1.1.5.2: single code space C* forced (two formats need translator T; non-algorithmic T = exogenous gluing),no,,integrate,BOOK_01.1,core-forcing,Absent. The M1-fork proof that the universe must have a single code ontology (else a manual translation catalog) is core forcing; v14 has no single-code-space necessity argument.,,
golden-BOOK-I-ARCHITECTURE-0059,golden,BOOK-I-ARCHITECTURE,SECTION,D0 §1.1.6 — [INV_2] Инвариант минимального описания $D_{\min}$,Section header for INV_2 (minimal description D_min),,,skip,,peripheral,non-conceptual (nav/registry),,
