a,b,verdict,justification
PRIM-SCENE-HISTORY-REFINEMENT-RULE,PRIM-EFT-IR-MATCHING-FUNCTIONAL,independent,"distinct carriers (K(9,11,13) history tower (E2 frontier) vs lepton exponent lattice, Vandermonde {0,1/4,1/3}) and distinct moduli (admissible refinement functors (all-walks vs non-backtracking) vs (r_mu,r_tau) IR-matching functionals); each is the registered completion gap of a different owner (no-go or obligation row); neither completion datum determines the other"
PRIM-SCENE-HISTORY-REFINEMENT-RULE,PRIM-GRADING-NEUTRAL-CURRENT-OPERATOR,independent,"distinct carriers (K(9,11,13) history tower (E2 frontier) vs derived M3 generation block of the R1 commutant (Wedderburn)) and distinct moduli (admissible refinement functors (all-walks vs non-backtracking) vs Z2-grading operators of signature (p,q)); each is the registered completion gap of a different owner (no-go or obligation row); neither completion datum determines the other"
PRIM-SCENE-HISTORY-REFINEMENT-RULE,PRIM-ISOMETRIC-DIRAC-J,independent,"bundle row (vNext NOGO split); partner is NOT among its registered split pieces {XI,DS}: the tower Dirac completion neither supplies nor needs the partner's datum"
PRIM-SCENE-HISTORY-REFINEMENT-RULE,PRIM-PHASON-COORDINATE-FUNCTOR,independent,"distinct carriers (K(9,11,13) history tower (E2 frontier) vs phason archive internal coordinate cocycle z(s) (X5 contract scope)) and distinct moduli (admissible refinement functors (all-walks vs non-backtracking) vs tick cocycles (phi-tick vs integer-tick)); each is the registered completion gap of a different owner (no-go or obligation row); neither completion datum determines the other"
PRIM-SCENE-HISTORY-REFINEMENT-RULE,PRIM-PHASON-PRESSURE-ENERGY-ROLE-ASSIGNMENT,independent,"distinct carriers (K(9,11,13) history tower (E2 frontier) vs L_archive spectrum {24,22,20} vs S_DE window (P1-C)) and distinct moduli (admissible refinement functors (all-walks vs non-backtracking) vs pressure/energy role sections); each is the registered completion gap of a different owner (no-go or obligation row); neither completion datum determines the other"
PRIM-SCENE-HISTORY-REFINEMENT-RULE,PRIM-SEAM-CROSSING-TICK-IDENTIFICATION,independent,"distinct carriers (K(9,11,13) history tower (E2 frontier) vs door-2 seam carrier V11 u {*} + toral tick (02.13.h depth axis)) and distinct moduli (admissible refinement functors (all-walks vs non-backtracking) vs crossing<->tick identifications (alpha,beta,gamma)); PRIM-SCENE-HISTORY-REFINEMENT-RULE is the registered completion gap of its own owner, while SEAM-CROSSING-TICK is the registered RESIDUAL of a core obligation (D0-TRANSPORT-FORK-ENDGAME-001 / D0-SEAM-CROSSING-WEIGHT-001), door-2-conditional - refutation reopens the depth axis, no no-go; neither completion datum determines the other"
PRIM-COMPARISON-MAP-XI-N,PRIM-DIRAC-SCALE-SELECTION,independent,the vNext NOGO itself registers these as the two INDEPENDENT split pieces ('+2 independent primitives'); scale cocycle supplies no comparison map and conversely
PRIM-COMPARISON-MAP-XI-N,PRIM-PHYSICAL-MAGNITUDE-MAP,independent,"original 11x11 adjudication (Lean total_extension_primitive_independence; distinct signatures, empty derive-relation)"
PRIM-COMPARISON-MAP-XI-N,PRIM-PHYSICAL-REDSHIFT-OBSERVABLE,independent,"original 11x11 adjudication (Lean total_extension_primitive_independence; distinct signatures, empty derive-relation)"
PRIM-COMPARISON-MAP-XI-N,PRIM-FORCED-SMOOTHING-WINDOW,independent,"original 11x11 adjudication (Lean total_extension_primitive_independence; distinct signatures, empty derive-relation)"
PRIM-COMPARISON-MAP-XI-N,PRIM-LEPTON-BRANCH-FIXING-OPERATOR,independent,"original 11x11 adjudication (Lean total_extension_primitive_independence; distinct signatures, empty derive-relation)"
PRIM-COMPARISON-MAP-XI-N,PRIM-PERRON-PHI3-CARRIER,independent,"original 11x11 adjudication (Lean total_extension_primitive_independence; distinct signatures, empty derive-relation)"
PRIM-COMPARISON-MAP-XI-N,PRIM-NONCOMMUTING-TRIPLE,independent,"original 11x11 adjudication (Lean total_extension_primitive_independence; distinct signatures, empty derive-relation)"
PRIM-COMPARISON-MAP-XI-N,PRIM-FINITE-SPECTRAL-TRIPLE-REP,independent,"original 11x11 adjudication (Lean total_extension_primitive_independence; distinct signatures, empty derive-relation)"
PRIM-COMPARISON-MAP-XI-N,PRIM-BARYON-PHYSICAL-LABEL-TRANSFER,independent,"original 11x11 adjudication (Lean total_extension_primitive_independence; distinct signatures, empty derive-relation)"
PRIM-COMPARISON-MAP-XI-N,PRIM-BRANCH-ISOTROPIC-READOUT,independent,distinct carriers (vNext refinement-tower endpoints vs v15 WP-B 3-block branch-coupling commutant) and distinct moduli (tripartite-preserving conditional expectations C_n vs marginal-preserving coherence assignments); each is the registered completion gap of a different owner (no-go or obligation row); neither completion datum determines the other
PRIM-COMPARISON-MAP-XI-N,PRIM-CANONICAL-SELF-READING-FUNCTOR,independent,"bundle row (conjunction-of-independent); partner is NOT among its registered constituents {E1,E2,E3-role,E3-cocycle,E4,+transitive GNC}: constituent carriers are disjoint from the partner's carrier, and the partner's datum forces no conjunction leg"
PRIM-COMPARISON-MAP-XI-N,PRIM-EDGE-HOLONOMY-SELECTOR,independent,"distinct carriers (vNext refinement-tower endpoints vs unified-edge-spine return edge, U(1) lambda-family) and distinct moduli (tripartite-preserving conditional expectations C_n vs holonomy PHASE selectors on |lambda|=1); each is the registered completion gap of a different owner (no-go or obligation row); neither completion datum determines the other"
PRIM-COMPARISON-MAP-XI-N,PRIM-EFT-IR-MATCHING-FUNCTIONAL,independent,"distinct carriers (vNext refinement-tower endpoints vs lepton exponent lattice, Vandermonde {0,1/4,1/3}) and distinct moduli (tripartite-preserving conditional expectations C_n vs (r_mu,r_tau) IR-matching functionals); each is the registered completion gap of a different owner (no-go or obligation row); neither completion datum determines the other"
PRIM-COMPARISON-MAP-XI-N,PRIM-GRADING-NEUTRAL-CURRENT-OPERATOR,independent,"distinct carriers (vNext refinement-tower endpoints vs derived M3 generation block of the R1 commutant (Wedderburn)) and distinct moduli (tripartite-preserving conditional expectations C_n vs Z2-grading operators of signature (p,q)); each is the registered completion gap of a different owner (no-go or obligation row); neither completion datum determines the other"
PRIM-COMPARISON-MAP-XI-N,PRIM-ISOMETRIC-DIRAC-J,derive-edge PRIM-ISOMETRIC-DIRAC-J->PRIM-COMPARISON-MAP-XI-N,[D0-VNEXT-ISOMETRIC-DIRAC-TOWER-NOGO-001] vNext split: 'requires ... a canonical comparison map Xi_N (Outcome D)'; the NOGO says the single primitive splits into +2
PRIM-COMPARISON-MAP-XI-N,PRIM-PHASON-COORDINATE-FUNCTOR,independent,distinct carriers (vNext refinement-tower endpoints vs phason archive internal coordinate cocycle z(s) (X5 contract scope)) and distinct moduli (tripartite-preserving conditional expectations C_n vs tick cocycles (phi-tick vs integer-tick)); each is the registered completion gap of a different owner (no-go or obligation row); neither completion datum determines the other
PRIM-COMPARISON-MAP-XI-N,PRIM-PHASON-PRESSURE-ENERGY-ROLE-ASSIGNMENT,independent,"distinct carriers (vNext refinement-tower endpoints vs L_archive spectrum {24,22,20} vs S_DE window (P1-C)) and distinct moduli (tripartite-preserving conditional expectations C_n vs pressure/energy role sections); each is the registered completion gap of a different owner (no-go or obligation row); neither completion datum determines the other"
PRIM-COMPARISON-MAP-XI-N,PRIM-SEAM-CROSSING-TICK-IDENTIFICATION,independent,"distinct carriers (vNext refinement-tower endpoints vs door-2 seam carrier V11 u {*} + toral tick (02.13.h depth axis)) and distinct moduli (tripartite-preserving conditional expectations C_n vs crossing<->tick identifications (alpha,beta,gamma)); PRIM-COMPARISON-MAP-XI-N is the registered completion gap of its own owner, while SEAM-CROSSING-TICK is the registered RESIDUAL of a core obligation (D0-TRANSPORT-FORK-ENDGAME-001 / D0-SEAM-CROSSING-WEIGHT-001), door-2-conditional - refutation reopens the depth axis, no no-go; neither completion datum determines the other"
PRIM-DIRAC-SCALE-SELECTION,PRIM-PHYSICAL-MAGNITUDE-MAP,independent,"original 11x11 adjudication (Lean total_extension_primitive_independence; distinct signatures, empty derive-relation)"
PRIM-DIRAC-SCALE-SELECTION,PRIM-PHYSICAL-REDSHIFT-OBSERVABLE,independent,"original 11x11 adjudication (Lean total_extension_primitive_independence; distinct signatures, empty derive-relation)"
PRIM-DIRAC-SCALE-SELECTION,PRIM-FORCED-SMOOTHING-WINDOW,independent,"original 11x11 adjudication (Lean total_extension_primitive_independence; distinct signatures, empty derive-relation)"
PRIM-DIRAC-SCALE-SELECTION,PRIM-LEPTON-BRANCH-FIXING-OPERATOR,independent,"original 11x11 adjudication (Lean total_extension_primitive_independence; distinct signatures, empty derive-relation)"
PRIM-DIRAC-SCALE-SELECTION,PRIM-PERRON-PHI3-CARRIER,independent,"original 11x11 adjudication (Lean total_extension_primitive_independence; distinct signatures, empty derive-relation)"
PRIM-DIRAC-SCALE-SELECTION,PRIM-NONCOMMUTING-TRIPLE,independent,"original 11x11 adjudication (Lean total_extension_primitive_independence; distinct signatures, empty derive-relation)"
PRIM-DIRAC-SCALE-SELECTION,PRIM-FINITE-SPECTRAL-TRIPLE-REP,independent,"original 11x11 adjudication (Lean total_extension_primitive_independence; distinct signatures, empty derive-relation)"
PRIM-DIRAC-SCALE-SELECTION,PRIM-BARYON-PHYSICAL-LABEL-TRANSFER,independent,"original 11x11 adjudication (Lean total_extension_primitive_independence; distinct signatures, empty derive-relation)"
PRIM-DIRAC-SCALE-SELECTION,PRIM-BRANCH-ISOTROPIC-READOUT,independent,distinct carriers (vNext intrinsic scale cocycles vs v15 WP-B 3-block branch-coupling commutant) and distinct moduli (covariance-compatible scale cocycles (phi-scale vs 2-scale) vs marginal-preserving coherence assignments); each is the registered completion gap of a different owner (no-go or obligation row); neither completion datum determines the other
PRIM-DIRAC-SCALE-SELECTION,PRIM-CANONICAL-SELF-READING-FUNCTOR,independent,"bundle row (conjunction-of-independent); partner is NOT among its registered constituents {E1,E2,E3-role,E3-cocycle,E4,+transitive GNC}: constituent carriers are disjoint from the partner's carrier, and the partner's datum forces no conjunction leg"
PRIM-DIRAC-SCALE-SELECTION,PRIM-EDGE-HOLONOMY-SELECTOR,independent,"distinct carriers (vNext intrinsic scale cocycles vs unified-edge-spine return edge, U(1) lambda-family) and distinct moduli (covariance-compatible scale cocycles (phi-scale vs 2-scale) vs holonomy PHASE selectors on |lambda|=1); each is the registered completion gap of a different owner (no-go or obligation row); neither completion datum determines the other"
PRIM-DIRAC-SCALE-SELECTION,PRIM-EFT-IR-MATCHING-FUNCTIONAL,independent,"distinct carriers (vNext intrinsic scale cocycles vs lepton exponent lattice, Vandermonde {0,1/4,1/3}) and distinct moduli (covariance-compatible scale cocycles (phi-scale vs 2-scale) vs (r_mu,r_tau) IR-matching functionals); each is the registered completion gap of a different owner (no-go or obligation row); neither completion datum determines the other"
PRIM-DIRAC-SCALE-SELECTION,PRIM-GRADING-NEUTRAL-CURRENT-OPERATOR,independent,"distinct carriers (vNext intrinsic scale cocycles vs derived M3 generation block of the R1 commutant (Wedderburn)) and distinct moduli (covariance-compatible scale cocycles (phi-scale vs 2-scale) vs Z2-grading operators of signature (p,q)); each is the registered completion gap of a different owner (no-go or obligation row); neither completion datum determines the other"
PRIM-DIRAC-SCALE-SELECTION,PRIM-ISOMETRIC-DIRAC-J,derive-edge PRIM-ISOMETRIC-DIRAC-J->PRIM-DIRAC-SCALE-SELECTION,[D0-VNEXT-ISOMETRIC-DIRAC-TOWER-NOGO-001] vNext split: 'a Dirac-compatible tower requires ... a forced scale law (Outcome C)'; a Dirac completion carries its scale
PRIM-DIRAC-SCALE-SELECTION,PRIM-PHASON-COORDINATE-FUNCTOR,independent,shared word 'cocycle' + phi-vs-rival-normalization shape checked: vNext intrinsic SCALE cocycle on the refinement tower vs phason archive TICK cocycle - different carriers and owners (vNext joint no-go vs phason_extension_nogo/X5); neither cocycle choice determines the other
PRIM-DIRAC-SCALE-SELECTION,PRIM-PHASON-PRESSURE-ENERGY-ROLE-ASSIGNMENT,independent,"distinct carriers (vNext intrinsic scale cocycles vs L_archive spectrum {24,22,20} vs S_DE window (P1-C)) and distinct moduli (covariance-compatible scale cocycles (phi-scale vs 2-scale) vs pressure/energy role sections); each is the registered completion gap of a different owner (no-go or obligation row); neither completion datum determines the other"
PRIM-DIRAC-SCALE-SELECTION,PRIM-SEAM-CROSSING-TICK-IDENTIFICATION,independent,"distinct carriers (vNext intrinsic scale cocycles vs door-2 seam carrier V11 u {*} + toral tick (02.13.h depth axis)) and distinct moduli (covariance-compatible scale cocycles (phi-scale vs 2-scale) vs crossing<->tick identifications (alpha,beta,gamma)); PRIM-DIRAC-SCALE-SELECTION is the registered completion gap of its own owner, while SEAM-CROSSING-TICK is the registered RESIDUAL of a core obligation (D0-TRANSPORT-FORK-ENDGAME-001 / D0-SEAM-CROSSING-WEIGHT-001), door-2-conditional - refutation reopens the depth axis, no no-go; neither completion datum determines the other"
PRIM-PHYSICAL-MAGNITUDE-MAP,PRIM-PHYSICAL-REDSHIFT-OBSERVABLE,independent,"original 11x11 adjudication: magnitude passport vs redshift passport, distinct external data"
PRIM-PHYSICAL-MAGNITUDE-MAP,PRIM-FORCED-SMOOTHING-WINDOW,independent,"original 11x11 adjudication (Lean total_extension_primitive_independence; distinct signatures, empty derive-relation)"
PRIM-PHYSICAL-MAGNITUDE-MAP,PRIM-LEPTON-BRANCH-FIXING-OPERATOR,independent,"original 11x11 adjudication (Lean total_extension_primitive_independence; distinct signatures, empty derive-relation)"
PRIM-PHYSICAL-MAGNITUDE-MAP,PRIM-PERRON-PHI3-CARRIER,independent,"original 11x11 adjudication (Lean total_extension_primitive_independence; distinct signatures, empty derive-relation)"
PRIM-PHYSICAL-MAGNITUDE-MAP,PRIM-NONCOMMUTING-TRIPLE,independent,"original 11x11 adjudication (Lean total_extension_primitive_independence; distinct signatures, empty derive-relation)"
PRIM-PHYSICAL-MAGNITUDE-MAP,PRIM-FINITE-SPECTRAL-TRIPLE-REP,independent,"original 11x11 adjudication (Lean total_extension_primitive_independence; distinct signatures, empty derive-relation)"
PRIM-PHYSICAL-MAGNITUDE-MAP,PRIM-BARYON-PHYSICAL-LABEL-TRANSFER,independent,"original 11x11 adjudication (Lean total_extension_primitive_independence; distinct signatures, empty derive-relation)"
PRIM-PHYSICAL-MAGNITUDE-MAP,PRIM-BRANCH-ISOTROPIC-READOUT,independent,distinct carriers (external w_DE magnitude passport (lane B) vs v15 WP-B 3-block branch-coupling commutant) and distinct moduli (Galois-sign/positivity-preserving magnitude maps vs marginal-preserving coherence assignments); each is the registered completion gap of a different owner (no-go or obligation row); neither completion datum determines the other
PRIM-PHYSICAL-MAGNITUDE-MAP,PRIM-CANONICAL-SELF-READING-FUNCTOR,independent,"bundle row (conjunction-of-independent); partner is NOT among its registered constituents {E1,E2,E3-role,E3-cocycle,E4,+transitive GNC}: constituent carriers are disjoint from the partner's carrier, and the partner's datum forces no conjunction leg"
PRIM-PHYSICAL-MAGNITUDE-MAP,PRIM-EDGE-HOLONOMY-SELECTOR,independent,"distinct carriers (external w_DE magnitude passport (lane B) vs unified-edge-spine return edge, U(1) lambda-family) and distinct moduli (Galois-sign/positivity-preserving magnitude maps vs holonomy PHASE selectors on |lambda|=1); each is the registered completion gap of a different owner (no-go or obligation row); neither completion datum determines the other"
PRIM-PHYSICAL-MAGNITUDE-MAP,PRIM-EFT-IR-MATCHING-FUNCTIONAL,independent,"distinct carriers (external w_DE magnitude passport (lane B) vs lepton exponent lattice, Vandermonde {0,1/4,1/3}) and distinct moduli (Galois-sign/positivity-preserving magnitude maps vs (r_mu,r_tau) IR-matching functionals); each is the registered completion gap of a different owner (no-go or obligation row); neither completion datum determines the other"
PRIM-PHYSICAL-MAGNITUDE-MAP,PRIM-GRADING-NEUTRAL-CURRENT-OPERATOR,independent,"distinct carriers (external w_DE magnitude passport (lane B) vs derived M3 generation block of the R1 commutant (Wedderburn)) and distinct moduli (Galois-sign/positivity-preserving magnitude maps vs Z2-grading operators of signature (p,q)); each is the registered completion gap of a different owner (no-go or obligation row); neither completion datum determines the other"
PRIM-PHYSICAL-MAGNITUDE-MAP,PRIM-ISOMETRIC-DIRAC-J,independent,"bundle row (vNext NOGO split); partner is NOT among its registered split pieces {XI,DS}: the tower Dirac completion neither supplies nor needs the partner's datum"
PRIM-PHYSICAL-MAGNITUDE-MAP,PRIM-PHASON-COORDINATE-FUNCTOR,independent,magnitude vs coordinate: |w_DE| map vs tick cocycle; the phason no-go keeps 'physical map = external passport' separate from the internal 4-torsor moduli
PRIM-PHYSICAL-MAGNITUDE-MAP,PRIM-PHASON-PRESSURE-ENERGY-ROLE-ASSIGNMENT,independent,"shared constraint words (Galois sign + positivity) but distinct data: |w_DE| magnitude map vs pressure/energy role section; magnitude no-go and P1-C are separate no-gos; a magnitude assigns no roles, a role fixes no magnitude"
PRIM-PHYSICAL-MAGNITUDE-MAP,PRIM-SEAM-CROSSING-TICK-IDENTIFICATION,independent,"distinct carriers (external w_DE magnitude passport (lane B) vs door-2 seam carrier V11 u {*} + toral tick (02.13.h depth axis)) and distinct moduli (Galois-sign/positivity-preserving magnitude maps vs crossing<->tick identifications (alpha,beta,gamma)); PRIM-PHYSICAL-MAGNITUDE-MAP is the registered completion gap of its own owner, while SEAM-CROSSING-TICK is the registered RESIDUAL of a core obligation (D0-TRANSPORT-FORK-ENDGAME-001 / D0-SEAM-CROSSING-WEIGHT-001), door-2-conditional - refutation reopens the depth axis, no no-go; neither completion datum determines the other"
PRIM-PHYSICAL-REDSHIFT-OBSERVABLE,PRIM-FORCED-SMOOTHING-WINDOW,independent,"original 11x11 adjudication (Lean total_extension_primitive_independence; distinct signatures, empty derive-relation)"
PRIM-PHYSICAL-REDSHIFT-OBSERVABLE,PRIM-LEPTON-BRANCH-FIXING-OPERATOR,independent,"original 11x11 adjudication (Lean total_extension_primitive_independence; distinct signatures, empty derive-relation)"
PRIM-PHYSICAL-REDSHIFT-OBSERVABLE,PRIM-PERRON-PHI3-CARRIER,independent,"original 11x11 adjudication (Lean total_extension_primitive_independence; distinct signatures, empty derive-relation)"
PRIM-PHYSICAL-REDSHIFT-OBSERVABLE,PRIM-NONCOMMUTING-TRIPLE,independent,"original 11x11 adjudication (Lean total_extension_primitive_independence; distinct signatures, empty derive-relation)"
PRIM-PHYSICAL-REDSHIFT-OBSERVABLE,PRIM-FINITE-SPECTRAL-TRIPLE-REP,independent,"original 11x11 adjudication (Lean total_extension_primitive_independence; distinct signatures, empty derive-relation)"
PRIM-PHYSICAL-REDSHIFT-OBSERVABLE,PRIM-BARYON-PHYSICAL-LABEL-TRANSFER,independent,"original 11x11 adjudication (Lean total_extension_primitive_independence; distinct signatures, empty derive-relation)"
PRIM-PHYSICAL-REDSHIFT-OBSERVABLE,PRIM-BRANCH-ISOTROPIC-READOUT,independent,distinct carriers (external redshift passport: internal s -> physical z (P2-E) vs v15 WP-B 3-block branch-coupling commutant) and distinct moduli (frozen monotone redshift observables vs marginal-preserving coherence assignments); each is the registered completion gap of a different owner (no-go or obligation row); neither completion datum determines the other
PRIM-PHYSICAL-REDSHIFT-OBSERVABLE,PRIM-CANONICAL-SELF-READING-FUNCTOR,independent,"bundle row (conjunction-of-independent); partner is NOT among its registered constituents {E1,E2,E3-role,E3-cocycle,E4,+transitive GNC}: constituent carriers are disjoint from the partner's carrier, and the partner's datum forces no conjunction leg"
PRIM-PHYSICAL-REDSHIFT-OBSERVABLE,PRIM-EDGE-HOLONOMY-SELECTOR,independent,"distinct carriers (external redshift passport: internal s -> physical z (P2-E) vs unified-edge-spine return edge, U(1) lambda-family) and distinct moduli (frozen monotone redshift observables vs holonomy PHASE selectors on |lambda|=1); each is the registered completion gap of a different owner (no-go or obligation row); neither completion datum determines the other"
PRIM-PHYSICAL-REDSHIFT-OBSERVABLE,PRIM-EFT-IR-MATCHING-FUNCTIONAL,independent,"distinct carriers (external redshift passport: internal s -> physical z (P2-E) vs lepton exponent lattice, Vandermonde {0,1/4,1/3}) and distinct moduli (frozen monotone redshift observables vs (r_mu,r_tau) IR-matching functionals); each is the registered completion gap of a different owner (no-go or obligation row); neither completion datum determines the other"
PRIM-PHYSICAL-REDSHIFT-OBSERVABLE,PRIM-GRADING-NEUTRAL-CURRENT-OPERATOR,independent,"distinct carriers (external redshift passport: internal s -> physical z (P2-E) vs derived M3 generation block of the R1 commutant (Wedderburn)) and distinct moduli (frozen monotone redshift observables vs Z2-grading operators of signature (p,q)); each is the registered completion gap of a different owner (no-go or obligation row); neither completion datum determines the other"
PRIM-PHYSICAL-REDSHIFT-OBSERVABLE,PRIM-ISOMETRIC-DIRAC-J,independent,"bundle row (vNext NOGO split); partner is NOT among its registered split pieces {XI,DS}: the tower Dirac completion neither supplies nor needs the partner's datum"
PRIM-PHYSICAL-REDSHIFT-OBSERVABLE,PRIM-PHASON-COORDINATE-FUNCTOR,independent,"internal-vs-external firewall: PCF is the internal tick cocycle (X5 contract: z(s)=phi^s-1, deletion-minimality phi-tick vs integer-tick); RED is the external passport datum (P2-E: 'no internal coordinate = observed redshift', EXACT-MISSING = external redshift observable). An internal cocycle does not identify itself with observed redshift; a passport does not select the internal normalization freedom (the X5 freedom is registered ON TOP of the passport layer)"
PRIM-PHYSICAL-REDSHIFT-OBSERVABLE,PRIM-PHASON-PRESSURE-ENERGY-ROLE-ASSIGNMENT,independent,role section vs external redshift passport: disjoint moduli (pressure/energy split vs observable identification); P1-C and P2-E are separate registered no-gos
PRIM-PHYSICAL-REDSHIFT-OBSERVABLE,PRIM-SEAM-CROSSING-TICK-IDENTIFICATION,independent,"distinct carriers (external redshift passport: internal s -> physical z (P2-E) vs door-2 seam carrier V11 u {*} + toral tick (02.13.h depth axis)) and distinct moduli (frozen monotone redshift observables vs crossing<->tick identifications (alpha,beta,gamma)); PRIM-PHYSICAL-REDSHIFT-OBSERVABLE is the registered completion gap of its own owner, while SEAM-CROSSING-TICK is the registered RESIDUAL of a core obligation (D0-TRANSPORT-FORK-ENDGAME-001 / D0-SEAM-CROSSING-WEIGHT-001), door-2-conditional - refutation reopens the depth axis, no no-go; neither completion datum determines the other"
PRIM-FORCED-SMOOTHING-WINDOW,PRIM-LEPTON-BRANCH-FIXING-OPERATOR,independent,"original 11x11 adjudication (Lean total_extension_primitive_independence; distinct signatures, empty derive-relation)"
PRIM-FORCED-SMOOTHING-WINDOW,PRIM-PERRON-PHI3-CARRIER,independent,"original 11x11 adjudication (Lean total_extension_primitive_independence; distinct signatures, empty derive-relation)"
PRIM-FORCED-SMOOTHING-WINDOW,PRIM-NONCOMMUTING-TRIPLE,independent,"original 11x11 adjudication (Lean total_extension_primitive_independence; distinct signatures, empty derive-relation)"
PRIM-FORCED-SMOOTHING-WINDOW,PRIM-FINITE-SPECTRAL-TRIPLE-REP,independent,"original 11x11 adjudication (Lean total_extension_primitive_independence; distinct signatures, empty derive-relation)"
PRIM-FORCED-SMOOTHING-WINDOW,PRIM-BARYON-PHYSICAL-LABEL-TRANSFER,independent,"original 11x11 adjudication (Lean total_extension_primitive_independence; distinct signatures, empty derive-relation)"
PRIM-FORCED-SMOOTHING-WINDOW,PRIM-BRANCH-ISOTROPIC-READOUT,independent,"distinct carriers (scene Laplacian heat data on spectrum {20,22,24,33} vs v15 WP-B 3-block branch-coupling commutant) and distinct moduli ((k,u) smoothing/evaluation functionals vs marginal-preserving coherence assignments); each is the registered completion gap of a different owner (no-go or obligation row); neither completion datum determines the other"
PRIM-FORCED-SMOOTHING-WINDOW,PRIM-CANONICAL-SELF-READING-FUNCTOR,independent,"bundle row (conjunction-of-independent); partner is NOT among its registered constituents {E1,E2,E3-role,E3-cocycle,E4,+transitive GNC}: constituent carriers are disjoint from the partner's carrier, and the partner's datum forces no conjunction leg"
PRIM-FORCED-SMOOTHING-WINDOW,PRIM-EDGE-HOLONOMY-SELECTOR,independent,"distinct carriers (scene Laplacian heat data on spectrum {20,22,24,33} vs unified-edge-spine return edge, U(1) lambda-family) and distinct moduli ((k,u) smoothing/evaluation functionals vs holonomy PHASE selectors on |lambda|=1); each is the registered completion gap of a different owner (no-go or obligation row); neither completion datum determines the other"
PRIM-FORCED-SMOOTHING-WINDOW,PRIM-EFT-IR-MATCHING-FUNCTIONAL,independent,"distinct carriers (scene Laplacian heat data on spectrum {20,22,24,33} vs lepton exponent lattice, Vandermonde {0,1/4,1/3}) and distinct moduli ((k,u) smoothing/evaluation functionals vs (r_mu,r_tau) IR-matching functionals); each is the registered completion gap of a different owner (no-go or obligation row); neither completion datum determines the other"
