claim_id,layer,status,owner_module,certificate,book_section,depends_on,remaining_artifact,is_global_blocker
D0-PHASON-WZ-EXPLICIT-FUNCTION-001,C4-phason,PROOF-TARGET,,vp_phason_wz_explicit_function.py,BOOK_08/08.51,,missing continuum interpolation w_N -> w_D0(u) of the integer-window ratio on a declared late-time domain,True
D0-PHASON-WDE-Z-MAP-OWNER-001,C4-phason,PROOF-TARGET,,,BOOK_08/08.51,,missing continuum interpolation PLUS the physical sign/magnitude normalization map to negative w_DE on the late-time window,True
D0-TORAL-TIME-MARKOV-CONJUGACY-001,C5-toral,PROOF-TARGET,D0.Geometry.LucasVoronoiMarkovPartition,vp_toral_time_markov_conjugacy.py,BOOK_06/06.31,,"missing explicit Williams strong-shift-equivalence (R,S,L) chain witnessing topological conjugacy (SE invariants are necessary not sufficient; external Adler-Weiss)",True
D0-ADLER-WEISS-INTERNAL-CONSTRUCTION-001,C5-toral,PROOF-TARGET,,vp_adler_weiss_internal_construction.py,BOOK_06/06.31,,missing Voronoi/Lucas-cell-exact Markov-partition existence proof (boundary mapping); external Adler-Weiss owner stands,True
D0-HIGGS-PHASON-CONDENSATION-OWNER-001,C6-higgs,PROOF-TARGET,,vp_higgs_phason_condensation_owner.py,BOOK_04/04.10,,missing proven double-well negative-quadratic sign f''(0)<0 (the spontaneous-symmetry-breaking condition is not forced); EOM stationarity is closed,True
D0-HYPERCHARGE-GRAPH-FLOW-OWNER-001,C7-hypercharge,PROOF-TARGET,,vp_hypercharge_graph_flow_owner.py,BOOK_04/04.9,,"missing flow->Weyl ledger map Phi PLUS an internally-derived Y_nuRc=0 and up/down branch selector; anomaly+constraints leave a 2-dim span{Y,B-L} variety (D0-HYPERCHARGE-ANOMALY-VARIETY-2DIM-001 NO-GO)",True
D0-CMB-PHASON-SPECTRUM-OWNER-001,C8-cmb,PROOF-TARGET,,vp_cmb_phason_spectrum_owner.py,BOOK_08/08.52,,"missing canonical internally-forced IDS smoothing functional fixing (k,u) so n_s = f({lambda_i}) is a single determined value",True
D0-CMB-IDS-SMOOTHING-OWNER-001,C8-cmb,PROOF-TARGET,,vp_cmb_ns_laplacian_ids.py,BOOK_08/08.v15,,"missing canonical internally-forced smoothing/evaluation rule fixing the pair (k,u); spectrum alone does NOT determine n_s (NO-GO closed in D0-CMB-NS-LAPLACIAN-IDS-OWNER-001)",True
D0-CKM-CLASS5-PARITY-EXCLUSION-001,C2-ckm,PROOF-TARGET,D0.Matter.CKMClass5ParityExclusion,vp_ckm_class5_parity_exclusion.py,BOOK_04/04.10,,SUPERSEDED: exclusion is CORE in D0-CLASS5-ALIASING-001 + selector CERT-CLOSED in D0-CKM-CLASS5-SELECTOR-OWNER-001; the parity-only route stays a non-owner (not a global blocker),False
D0-DELTA-ALPHA-RESIDUE-PAIRING-OWNER-001,C1-alpha,PROOF-TARGET,,,,,missing profinite/tower Dixmier pairing owner (same gap as D0-ALPHA-FESHBACH-DIXMIER-OWNER-001); the finite Feshbach residue recovers alpha_alg but not the Delta_alpha normalization,True
D0-DELTA-ALPHA-HEATTRACE-COEFFICIENT-OWNER-001,C1-alpha,PROOF-TARGET,,,,,"no positive owner from a finite trace (c_-1=0, c_0=dim=30); missing a regularized profinite trace whose s^-1 coefficient is 2^11*pi0*phi^-2",True
D0-LUCAS-MARKOV-PARTITION-OWNER-001,C5-toral,PROOF-TARGET,,,,,"missing internal Lucas/Voronoi Markov-partition existence proof; the GL(2,Z) similarity + SE invariants are CERT-CLOSED (D0-WILLIAMS-SHIFT-EQUIVALENCE-OWNER-001)",True
D0-SMOOTH-MANIFOLD-INTERNAL-RECONSTRUCTION-001,D-geometry,PROOF-TARGET,,,,,missing finite-atlas -> smooth-shadow reconstruction (local-dim stability + discrete Poincare + heat-kernel Weyl); external Rieffel/GHP owner stands (ASSUMP-RIEFFEL-GHP),True
D0-CONNES-GHP-SMOOTH-ATLAS-OWNER-001,D-geometry,PROOF-TARGET,,,,,missing GHP-Cauchy convergence proof for the D0 refinement sequence (external Rieffel quantum-metric / GHP limit),True
D0-GW-HORIZON-HUM-PASSPORT-001,D-passport,PROOF-TARGET,,,,,missing external-data manifest (GWOSC event list + template-subtraction + pre-registered residual statistic); frozen internal object I_f=log phi exists,True
D0-GW-ECHO-SHORT-DELAY-PASSPORT-001,D-passport,PROOF-TARGET,,,,,missing horizonless-seam short-echo-delay target + GWOSC external-data manifest,True
D0-DARK-RATIO-PASSPORT-001,D-passport,PROOF-TARGET,,,,,"missing cosmological-parameter external-data manifest for Omega_dark/Omega_visible; frozen internal object rank/nullity=3/30, visible 1/11, dark 10/11 exists",True
