claim_id,book,domain,type,release_status,claim_class,uses_bridge_assumptions,python_cert,lean_status,allowed_publication_verb,publication_boundary,notes
D0-QM-BORN-001,BOOK_02,formal_core,bridge,BRIDGE-ASSUMPTIONS-EXPLICIT,LAB-BRIDGE / EMPIRICAL-PASSPORT,True,,LEAN_PROVED_WITH_BRIDGE_ASSUMPTIONS,models / bridges / motivates / tests; never proves core physics,Conditional bridge row; not a D0-core closure without listed assumptions.,Finite skeleton under explicit finite response assumptions; no full Gleason claim.
D0-QM-BORN-002,BOOK_02,formal_core,bridge,BRIDGE-ASSUMPTIONS-EXPLICIT,LAB-BRIDGE / EMPIRICAL-PASSPORT,True,,LEAN_PROVED_WITH_BRIDGE_ASSUMPTIONS,models / bridges / motivates / tests; never proves core physics,Conditional bridge row; not a D0-core closure without listed assumptions.,Finite skeleton under explicit finite response assumptions.
D0-CARRIER-003,D0_OPERATOR_BRIDGE_TRIPLE_CLOSURE,formal_core,bridge,CORE_BRIDGE_SPLIT,LAB-BRIDGE / EMPIRICAL-PASSPORT,True,vp_v1145_operator_bridge_triple.py,LEAN_PROVED_WITH_BRIDGE_ASSUMPTIONS,models / bridges / motivates / tests; never proves core physics,Core/bridge split row; the formal spine is proved while physical coherence remains an explicit package.,Finite Clifford relation is core; Lorentz macro integration is bridge.
D0-GAUGE-MATTER-001,BOOK_02/04,gauge_bridge,bridge,BRIDGE-ASSUMPTIONS-EXPLICIT,LAB-BRIDGE / EMPIRICAL-PASSPORT,True,vp_v1132_gauge_matter_ward_anomaly.py,LEAN_PROVED_WITH_BRIDGE_ASSUMPTIONS,models / bridges / motivates / tests; never proves core physics,Conditional bridge row; not a D0-core closure without listed assumptions.,Boundary skeleton conditional on declared incidence pair.
D0-GAUGE-MATTER-002,BOOK_02/04,gauge_bridge,core,CORE-FORMALIZED,STATUS-CHECK-REQUIRED,False,vp_v1132_gauge_matter_ward_anomaly.py,LEAN_PROVED,describe only after status audit,Gauge-sector statement; physical Yang-Mills interpretation remains bridge-scoped when assumptions appear.,Exact rational one-generation anomaly sums.
D0-RG-001,D0_OPERATOR_BRIDGE_TRIPLE_CLOSURE,rg,bridge,BRIDGE-ASSUMPTIONS-EXPLICIT,LAB-BRIDGE / EMPIRICAL-PASSPORT,True,vp_v1145_operator_bridge_triple.py,LEAN_PROVED_WITH_BRIDGE_ASSUMPTIONS,models / bridges / motivates / tests; never proves core physics,Conditional bridge row; not a D0-core closure without listed assumptions.,Scale algebra plus explicit smooth interpolation assumption.
D0-SMOOTH-001,D0_OPERATOR_BRIDGE_TRIPLE_CLOSURE,smooth_geometry,bridge,BRIDGE-ASSUMPTIONS-EXPLICIT,LAB-BRIDGE / EMPIRICAL-PASSPORT,True,vp_v1145_operator_bridge_triple.py,LEAN_PROVED_WITH_BRIDGE_ASSUMPTIONS,models / bridges / motivates / tests; never proves core physics,Conditional bridge row; not a D0-core closure without listed assumptions.,Smooth geometry remains conditional.
D0-PHASE-TOWER-001,BOOK_01/02,formal_core,core,CORE-FORMALIZED,STATUS-CHECK-REQUIRED,False,,LEAN_PROVED,describe only after status audit,Lean-owned finite/formal D0 core statement.,"Forced windows are minimal synchronization moduli, not post-hoc choices."
D0-PHASE-TOWER-002,BOOK_01/02,formal_core,no-go,NO_GO_PROVED,NO-GO/AUDIT,False,,LEAN_PROVED,rules out / audits / blocks promotion,Boundary/no-go row; prevents promotion of this route.,Formal tower exists but current terminal recursion stabilizes; direct Einstein tower is not derived here.
D0-ARCHIVE-TOWER-001,BOOK_06/07,formal_core,core,CORE-FORMALIZED,STATUS-CHECK-REQUIRED,False,,LEAN_PROVED,describe only after status audit,Lean-owned finite/formal D0 core statement.,Terminal readout stable while archive/spectral refinement grows.
D0-ARCHIVE-MODE-EXPONENT-001,BOOK_07/08,formal_core,core,CORE-FORMALIZED,STATUS-CHECK-REQUIRED,False,,LEAN_PROVED,describe only after status audit,Lean-owned finite/formal D0 core statement.,Archive exponent 4 forced by ABCD/Lorentz carrier dimension.
D0-ARCHIVE-HEATTRACE-001,BOOK_07/08,spectral_action,certificate,CERT-CLOSED,STATUS-CHECK-REQUIRED,False,vp_archive_heat_trace_weyl_dimension.py,PYTHON_CERTIFIED,describe only after status audit,Certificate-bounded row; valid only for declared finite inputs and negative controls.,Lean structural heat trace skeleton plus Weyl dimension cert.
D0-ARCHIVE-LAPLACIAN-001,BOOK_07,formal_core,core,CORE-FORMALIZED,STATUS-CHECK-REQUIRED,False,,LEAN_PROVED,describe only after status audit,Lean-owned finite/formal D0 core statement.,Finite archive Laplacian is symmetric/nonnegative with zero-mode control.
D0-ARCHIVE-RESOLVENT-001,BOOK_07,formal_core,core,CORE-FORMALIZED,STATUS-CHECK-REQUIRED,False,,LEAN_PROVED,describe only after status audit,Lean-owned finite/formal D0 core statement.,Finite-stage compactness/projection/tightness structure for archive tower.
D0-SPECTRAL-ACTION-ADMISS-001,BOOK_07,spectral_action,certificate,CERT-CLOSED,STATUS-CHECK-REQUIRED,False,vp_spectral_action_eh_coefficient.py;vp_spectral_action_expansion_stability.py,PYTHON_CERTIFIED,describe only after status audit,Certificate-bounded row; valid only for declared finite inputs and negative controls.,D0-side admissibility and coefficient/cutoff certs; external analytic theorem not internalized.
D0-HST-ARCHIVE-001,BOOK_06/08,formal_core,certificate,CERT-CLOSED,STATUS-CHECK-REQUIRED,False,vp_archive_subgaussian_hst_admissibility.py;vp_archive_convex_order_domination.py,PYTHON_CERTIFIED,describe only after status audit,Certificate-bounded row; valid only for declared finite inputs and negative controls.,HST is external theorem object; D0-side archive hypotheses are cert-backed.
D0-ARCHIVE-ENTROPY-001,BOOK_06/08,formal_core,certificate,CERT-CLOSED,STATUS-CHECK-REQUIRED,False,vp_archive_entropy_softmax_coupling.py,PYTHON_CERTIFIED,describe only after status audit,Certificate-bounded row; valid only for declared finite inputs and negative controls.,Entropy-selected archive coupling interface plus finite-stage softmax coupling cert.
D0-DM-CLASSICALITY-001,BOOK_06/08,formal_core,certificate,CERT-CLOSED,STATUS-CHECK-REQUIRED,False,vp_dm_classicality_guardrail.py,PYTHON_CERTIFIED,describe only after status audit,Certificate-bounded row; valid only for declared finite inputs and negative controls.,Weak-coupling/mode-averaging nonclassical signature suppression guardrail.
D0-ARCHIVE-GAUSSIAN-CHANNEL-001,BOOK_06/08,formal_core,core,CORE-FORMALIZED,STATUS-CHECK-REQUIRED,False,,LEAN_PROVED,describe only after status audit,Lean-owned finite/formal D0 core statement.,Combines HST interface and detector classicalization as typed macro-channel statement.
D0-GRAV-QNM-001,BOOK_07,empirical_passport,no-go,NO_GO_PROVED,NO-GO/AUDIT,False,vp_qnm_delta0_overtone_ladder.py,PYTHON_CERTIFIED,rules out / audits / blocks promotion,Boundary/no-go row; prevents promotion of this route.,QNM ladder passport is blocked without preregistered model and extracted modes table.
D0-GENERATION-RAYS-001,BOOK_04,formal_core,no-go,NO_GO_PROVED,NO-GO/AUDIT,False,,LEAN_PROVED,rules out / audits / blocks promotion,Boundary/no-go row; prevents promotion of this route.,"Bare K(9,11,13) spectral cluster generation route is no-go. Core generation index is instead D0-GEN-INDEX-001 via projective branch-defect rays."
D0-GEN-INDEX-001,BOOK_04,formal_core,core,CORE-FORMALIZED,STATUS-CHECK-REQUIRED,False,vp_pi0_branch_defect_generation.py,LEAN_PROVED,describe only after status audit,Lean-owned finite/formal D0 core statement.,Generation index is the projective closure P1(F2) of the minimal two-branch defect plane; masses/Yukawa hierarchy are not included.
D0-GEN-MASS-001,BOOK_04,empirical_passport,no-go,NO_GO_PROVED,NO-GO/AUDIT,False,vp_pi0_branch_defect_generation.py,LEAN_PROVED,rules out / audits / blocks promotion,Boundary/no-go row; prevents promotion of this route.,Core index is proved; physical masses/Yukawa hierarchy/PDG clustering require additional physical input and are not core theorems.
D0-ARCHIVE-PHASE-DISTANCE,BOOK_06/07,formal_core,core,CORE-FORMALIZED,STATUS-CHECK-REQUIRED,False,,LEAN_PROVED,describe only after status audit,Lean-owned finite/formal D0 core statement.,Metric on finite fibers.
D0-ARCHIVE-LAPLACIAN-PHASE-NATURALITY,BOOK_07,formal_core,no-go,NO_GO_PROVED,NO-GO/AUDIT,False,,LEAN_PROVED,rules out / audits / blocks promotion,Boundary/no-go row; prevents promotion of this route.,Naturality alone does not uniquely fix the operator without further phase structure.
D0-ARCHIVE-PHASE-CURVATURE,BOOK_07,formal_core,core,CORE-FORMALIZED,STATUS-CHECK-REQUIRED,False,,LEAN_PROVED,describe only after status audit,Lean-owned finite/formal D0 core statement.,Nonvanishing curvature obstruction on refined phase fibers.
D0-ARCHIVE-LAPLACIAN-RG,BOOK_07,rg,certificate,CERT-CLOSED,STATUS-CHECK-REQUIRED,False,vp_archive_laplacian_rg_flow.py,PYTHON_CERTIFIED,describe only after status audit,Certificate-bounded row; valid only for declared finite inputs and negative controls.,Nearest-neighbor phase Laplacian is not strictly projective; RG residual/curvature obstruction is tracked by scale-fit cert.
D0-ARCHIVE-SEAM-CURVATURE-001,BOOK_07,formal_core,certificate,CERT-CLOSED,STATUS-CHECK-REQUIRED,False,vp_archive_seam_curvature_action.py,PYTHON_CERTIFIED,describe only after status audit,Certificate-bounded row; valid only for declared finite inputs and negative controls.,Curvature is the seam commutator density; cert checks exact rank two and seam support.
D0-ARCHIVE-ACTION-001,BOOK_07,formal_core,certificate,CERT-CLOSED,STATUS-CHECK-REQUIRED,False,vp_archive_seam_curvature_action.py,PYTHON_CERTIFIED,describe only after status audit,Certificate-bounded row; valid only for declared finite inputs and negative controls.,Archive action is accumulated seam curvature and vanishes exactly when all included levels are transport-flat.
D0-ARCHIVE-FIELD-EQ-001,BOOK_07,formal_core,certificate,CERT-CLOSED,STATUS-CHECK-REQUIRED,False,vp_archive_variational_field_equation.py,PYTHON_CERTIFIED,describe only after status audit,Certificate-bounded row; valid only for declared finite inputs and negative controls.,Finite seam-action variation gives the field-gradient pairing and sourced variational equation.
D0-ARCHIVE-BIANCHI-001,BOOK_07,formal_core,core,CORE-FORMALIZED,STATUS-CHECK-REQUIRED,False,vp_archive_variational_field_equation.py,LEAN_PROVED,describe only after status audit,Lean-owned finite/formal D0 core statement.,Row-sum conservation of the seam curvature gradient forces conserved archive sources.
D0-MATTER-STRESS-COUPLING-001,BOOK_04,formal_core,core,CORE-FORMALIZED,STATUS-CHECK-REQUIRED,False,,LEAN_PROVED,describe only after status audit,Lean-owned finite/formal D0 core statement.,Generation/anomaly layer defines a symmetric conserved archive stress source; anomaly-free reps give zero source in this minimal coupling.
D0-ARCHIVE-VARIATION-DUAL-001,BOOK_07,formal_core,core,CORE-FORMALIZED,STATUS-CHECK-REQUIRED,False,,LEAN_PROVED,describe only after status audit,Lean-owned finite/formal D0 core statement.,Admissible variation dual properties.
D0-ARCHIVE-STRESS-REP-001,BOOK_07,formal_core,core,CORE-FORMALIZED,STATUS-CHECK-REQUIRED,False,,LEAN_PROVED,describe only after status audit,Lean-owned finite/formal D0 core statement.,Symmetric representative defined and raw gradient equivalent.
D0-ARCHIVE-WEAK-FIELD-001,BOOK_07/08,formal_core,core,CORE-FORMALIZED,STATUS-CHECK-REQUIRED,False,vp_archive_weak_field_poisson.py,LEAN_PROVED,describe only after status audit,Lean-owned finite/formal D0 core statement.,Poisson equation has unique solution up to constant.
D0-MATTER-SOURCE-NEUTRALITY-001,BOOK_04/08,formal_core,core,CORE-FORMALIZED,STATUS-CHECK-REQUIRED,False,,LEAN_PROVED,describe only after status audit,Lean-owned finite/formal D0 core statement.,Generated-source neutrality closes the minimal base interface; nonzero localized sources are handled by D0-MATTER-LOCALIZATION-001.
D0-MATTER-REP-001,BOOK_04,gauge_bridge,core,CORE-FORMALIZED,STATUS-CHECK-REQUIRED,False,,LEAN_PROVED,describe only after status audit,Gauge-sector statement; physical Yang-Mills interpretation remains bridge-scoped when assumptions appear.,Matter generation multiplicity is exactly three.
D0-MATTER-ANOMALY-001,BOOK_04,formal_core,core,CORE-FORMALIZED,STATUS-CHECK-REQUIRED,False,,LEAN_PROVED,describe only after status audit,Lean-owned finite/formal D0 core statement.,Generational anomaly sum structure.
D0-GEOM-OBSTRUCT-001,BOOK_07,formal_core,core,CORE-FORMALIZED,STATUS-CHECK-REQUIRED,False,,LEAN_PROVED,describe only after status audit,Lean-owned finite/formal D0 core statement.,Flat archive iff zero curvature obstruction.
D0-ARCHIVE-STRESS-CONSERVATION-001,BOOK_07,formal_core,core,CORE-FORMALIZED,STATUS-CHECK-REQUIRED,False,,LEAN_PROVED,describe only after status audit,Lean-owned finite/formal D0 core statement.,Constrained representative is symmetric and conserved.
D0-ARCHIVE-SCALAR-REDUCTION-001,BOOK_07,formal_core,core,CORE-FORMALIZED,STATUS-CHECK-REQUIRED,False,,LEAN_PROVED,describe only after status audit,Lean-owned finite/formal D0 core statement.,Stationarity under scalar perturbations reduces to discrete Poisson.
D0-MATTER-LOCALIZATION-001,BOOK_04,formal_core,core,CORE-FORMALIZED,STATUS-CHECK-REQUIRED,False,,LEAN_PROVED,describe only after status audit,Lean-owned finite/formal D0 core statement.,Conditional matter source neutrality under localization assumption.
D0-COSMO-HOMOGENEOUS-FIXED-POINT-001,BOOK_08,cosmology,core,CORE-FORMALIZED,STATUS-CHECK-REQUIRED,False,,LEAN_PROVED,describe only after status audit,Formal finite cosmology shape statement; not an observational cosmology fit without certificate/passport data.,Homogeneous state mass conservation fixed point.
D0-COSMO-ZERO-MEAN-UNDERDENSE-001,BOOK_08,cosmology,core,CORE-FORMALIZED,STATUS-CHECK-REQUIRED,False,,LEAN_PROVED,describe only after status audit,Formal finite cosmology shape statement; not an observational cosmology fit without certificate/passport data.,Zero-mean modes must have negative (underdense) and positive components.
D0-COSMO-TRANSIENT-ACCELERATION-001,BOOK_08,cosmology,core,CORE-FORMALIZED,STATUS-CHECK-REQUIRED,False,,LEAN_PROVED,describe only after status audit,Formal finite cosmology shape statement; not an observational cosmology fit without certificate/passport data.,Geometric underdensity pattern yields transient acceleration in 1/rho.
D0-COSMO-INSTABILITY-SATURATION-001,BOOK_08,cosmology,core,CORE-FORMALIZED,STATUS-CHECK-REQUIRED,False,vp_archive_friedmann_instability.py,LEAN_PROVED,describe only after status audit,Formal finite cosmology shape statement; not an observational cosmology fit without certificate/passport data.,Lower bound blocks eternal linear underdensity growth.
D0-COSMO-ENTROPY-FLOW-FIXED-POINT-001,BOOK_08,cosmology,core,CORE-FORMALIZED,STATUS-CHECK-REQUIRED,False,,LEAN_PROVED,describe only after status audit,Formal finite cosmology shape statement; not an observational cosmology fit without certificate/passport data.,Mass-preserving homogeneous entropy-coupled flow fixed point.
D0-COSMO-JACOBIAN-INSTABILITY-001,BOOK_08,cosmology,core,CORE-FORMALIZED,STATUS-CHECK-REQUIRED,False,,LEAN_PROVED,describe only after status audit,Formal finite cosmology shape statement; not an observational cosmology fit without certificate/passport data.,Linearized flow eigenvalue formula and instability.
D0-COSMO-VOLUME-FLOOR-BOUND-001,BOOK_08,cosmology,core,CORE-FORMALIZED,STATUS-CHECK-REQUIRED,False,,LEAN_PROVED,describe only after status audit,Formal finite cosmology shape statement; not an observational cosmology fit without certificate/passport data.,Density floor bounds archive volume and prevents eternal acceleration.
D0-COSMO-CONCRETE-FLOW-001,BOOK_08,cosmology,core,CORE-FORMALIZED,STATUS-CHECK-REQUIRED,False,,LEAN_PROVED,describe only after status audit,Formal finite cosmology shape statement; not an observational cosmology fit without certificate/passport data.,Concrete entropy-coupled softmax flow properties.
D0-COSMO-JACOBIAN-SIGN-001,BOOK_08,cosmology,core,CORE-FORMALIZED,STATUS-CHECK-REQUIRED,False,,LEAN_PROVED,describe only after status audit,Formal finite cosmology shape statement; not an observational cosmology fit without certificate/passport data.,Instability audit locks sign and eigenvalue formula.
D0-COSMO-FLOOR-PROJECTION-001,BOOK_08,cosmology,core,CORE-FORMALIZED,STATUS-CHECK-REQUIRED,False,,LEAN_PROVED,describe only after status audit,Formal finite cosmology shape statement; not an observational cosmology fit without certificate/passport data.,Feasible projection preserves mass and floor.
D0-COSMO-TICK-GAUGE-EQUIV-001,BOOK_08,cosmology,core,CORE-FORMALIZED,STATUS-CHECK-REQUIRED,False,,LEAN_PROVED,describe only after status audit,Formal finite cosmology shape statement; not an observational cosmology fit without certificate/passport data.,Tick gauge equivalence holds by parameter absorption.
D0-COSMO-WATER-FILLING-001,BOOK_08,cosmology,core,CORE-FORMALIZED,STATUS-CHECK-REQUIRED,False,,LEAN_PROVED,describe only after status audit,Formal finite cosmology shape statement; not an observational cosmology fit without certificate/passport data.,Water-filling preserves floor and is feasible when mass is large enough.
D0-COSMO-CONFORMAL-TRACE-001,BOOK_08,cosmology,core,CORE-FORMALIZED,STATUS-CHECK-REQUIRED,False,,LEAN_PROVED,describe only after status audit,Formal finite cosmology shape statement; not an observational cosmology fit without certificate/passport data.,Weighted trace volume proxy proportional to archiveVolume on regular graphs.
D0-GEOM-HEAT-TRACE-EH-PROXY-001,BOOK_08,formal_core,core,CORE-FORMALIZED,STATUS-CHECK-REQUIRED,False,,LEAN_PROVED,describe only after status audit,Lean-owned finite/formal D0 core statement.,Weighted trace square decomposition and proxy nonnegativity.
D0-COSMO-CORE-SHAPE-PASSPORT-BOUNDARY-001,BOOK_08,cosmology,core,CORE-FORMALIZED,STATUS-CHECK-REQUIRED,False,,LEAN_PROVED,describe only after status audit,Formal finite cosmology shape statement; not an observational cosmology fit without certificate/passport data.,D0 core shape independent of empirical params and external data not core closed.
D0-GEOM-HEAT-TRACE-A2-DECOMP-001,BOOK_08,spectral_action,core,CORE-FORMALIZED,STATUS-CHECK-REQUIRED,False,vp_spectral_action_eh_coefficient.py,LEAN_PROVED,describe only after status audit,Finite spectral-action or heat-trace statement; no continuum Einstein-Hilbert promotion by default.,Heat trace exact decomposition with factor 1/2 and double-count guard.
D0-GEOM-SPECTRAL-ACTION-LADDER-001,BOOK_08,smooth_geometry,core,CORE-FORMALIZED,STATUS-CHECK-REQUIRED,False,vp_spectral_action_eh_coefficient.py,LEAN_PROVED,describe only after status audit,Finite/symbolic smooth-geometry proxy; continuum covariance requires declared bridge assumptions.,Finite spectral-action ladder and bounds; no continuum EH promotion.
D0-GEOM-HIGHER-CURVATURE-FLOOR-BOUND-001,BOOK_08,spectral_action,core,CORE-FORMALIZED,STATUS-CHECK-REQUIRED,False,vp_spectral_action_eh_coefficient.py,LEAN_PROVED,describe only after status audit,Finite spectral-action or heat-trace statement; no continuum Einstein-Hilbert promotion by default.,Higher curvature trace powers are bounded by the conformal density floor estimate.
D0-TRACEABILITY-STATUS-TAXONOMY-001,BOOK_08,empirical_passport,core,CORE-FORMALIZED,STATUS-CHECK-REQUIRED,False,,LEAN_PROVED,describe only after status audit,Passport or empirical interface row; not a D0-core theorem without external data discipline.,Traceability status taxonomy with promotion guardrails.
D0-OPERATOR-GAUGE-CURVATURE-ORIGIN-001,BOOK_08,gauge_bridge,core,CORE-FORMALIZED,STATUS-CHECK-REQUIRED,False,,LEAN_PROVED,describe only after status audit,Gauge-sector statement; physical Yang-Mills interpretation remains bridge-scoped when assumptions appear.,Linear/abelian gauge curvature origin closed from archive commutators.
D0-OPERATOR-VECTOR-LAPLACIAN-ORIGIN-001,BOOK_08,formal_core,core,CORE-FORMALIZED,STATUS-CHECK-REQUIRED,False,,LEAN_PROVED,describe only after status audit,Lean-owned finite/formal D0 core statement.,Vector operator origin via negative double commutator.
D0-OPERATOR-EDGE-STIFFNESS-ORIGIN-001,BOOK_08,formal_core,core,CORE-FORMALIZED,STATUS-CHECK-REQUIRED,False,,LEAN_PROVED,describe only after status audit,Lean-owned finite/formal D0 core statement.,Edge stiffness origin with symm-offdiag projection.
D0-NO-GO-BARE-ARCHIVE-NONABELIAN-001,BOOK_08,formal_core,no-go,NO-GO,NO-GO/AUDIT,False,,LEAN_PROVED,rules out / audits / blocks promotion,Boundary/no-go row; prevents promotion of this route.,Nonabelian completion remains outside bare archive operator.
D0-NO-GO-EDGE-STIFFNESS-SCALAR-LEAKAGE-001,BOOK_08,formal_core,no-go,NO-GO,NO-GO/AUDIT,False,,LEAN_PROVED,rules out / audits / blocks promotion,Boundary/no-go row; prevents promotion of this route.,Bare HP+PH can leak scalar diagonal without symmOffDiag projection.
D0-NO-GO-FLAT-TENSOR-NONABELIAN-001,BOOK_08,gauge_bridge,no-go,NO-GO,NO-GO/AUDIT,False,,LEAN_PROVED,rules out / audits / blocks promotion,Boundary/no-go row; prevents promotion of this route.,Naive flat tensor of two skew sectors is symmetric and leaves the skew/vector sector.
D0-GAUGE-NONABELIAN-DISCRETE-CURVATURE-001,BOOK_08,gauge_bridge,core,CORE-FORMALIZED,STATUS-CHECK-REQUIRED,False,,LEAN_PROVED,describe only after status audit,Gauge-sector statement; physical Yang-Mills interpretation remains bridge-scoped when assumptions appear.,Nonabelian curvature package preserves the skew sector after adding the wedge layer.
D0-GAUGE-BIANCHI-RESIDUAL-BOUNDARY-001,BOOK_08,gauge_bridge,no-go,NO-GO,NO-GO/AUDIT,False,,LEAN_PROVED,rules out / audits / blocks promotion,Boundary/no-go row; prevents promotion of this route.,Residual expansion is exact by definition; flat ungraded residual is NO-GO while graded incidence Bianchi is closed.
D0-GAUGE-YANG-MILLS-KILLING-POSITIVITY-001,BOOK_08,gauge_bridge,bridge,BRIDGE-ASSUMPTION,LAB-BRIDGE / EMPIRICAL-PASSPORT,True,,LEAN_PROVED_WITH_BRIDGE_ASSUMPTIONS,models / bridges / motivates / tests; never proves core physics,Conditional bridge row; not a D0-core closure without listed assumptions.,Yang-Mills positivity follows from assumed negative semidefinite Killing form.
D0-FINAL-BRIDGE-INDEX-001,BOOK_08,formal_core,core,CORE-FORMALIZED,STATUS-CHECK-REQUIRED,False,,LEAN_PROVED,describe only after status audit,Lean-owned finite/formal D0 core statement.,Machine-checkable final bridge index over closed D0 foundation groups.
D0-HURWITZ-LOCAL-BOUNDARY-001,BOOK_04,formal_core,core,CORE-FORMALIZED,STATUS-CHECK-REQUIRED,False,,LEAN_PROVED,describe only after status audit,Lean-owned finite/formal D0 core statement.,Local finite admissibility and table witnesses are internal D0 theorems for dimensions 1/2/4/8.
D0-EXTERNAL-BACKGROUND-HURWITZ-GLOBAL-CLASSIFICATION-001,BOOK_04,external_background,deprecated,EXTERNAL-BACKGROUND,STATUS-CHECK-REQUIRED,False,,DEPRECATED,describe only after status audit,Deprecated or historical row; not a live promotion path.,Global normed-division exhaustion is no longer an active D0 core dependency; D0 core uses the finite internal selector.
D0-GAUGE-MATRIX-REP-TRANSFORM-001,BOOK_05/06,gauge_bridge,core,CORE-FORMALIZED,STATUS-CHECK-REQUIRED,False,,LEAN_PROVED,describe only after status audit,Gauge-sector statement; physical Yang-Mills interpretation remains bridge-scoped when assumptions appear.,Finite matrix-representation Yang-Mills layer is closed without asserting abstract graded Bianchi.
D0-NO-GO-ABSTRACT-LIERING-FINITE-TRANSFORM-001,BOOK_05/06,gauge_bridge,no-go,NO-GO,NO-GO/AUDIT,False,,LEAN_PROVED,rules out / audits / blocks promotion,Boundary/no-go row; prevents promotion of this route.,Finite transform cannot be stated in bare abstract LieRing form without an associative matrix representation.
D0-GAUGE-BIANCHI-GRADED-DEPRECATED-001,BOOK_05/06,gauge_bridge,deprecated,DEPRECATED,STATUS-CHECK-REQUIRED,False,,DEPRECATED,describe only after status audit,Deprecated or historical row; not a live promotion path.,Replaced by D0-GRADED-BIANCHI-EXACT-001; exact Bianchi is closed on the graded incidence complex.
D0-BRIDGE-SI-CALIBRATION-BOUNDARY-001,BOOK_08,si_calibration,bridge,BRIDGE-CALIBRATION,STATUS-CHECK-REQUIRED,False,vp_si_calibration_boundary.py,PYTHON_CERTIFIED,describe only after status audit,Bridge-calibration row; SI or dimensional interpretation requires an explicit external calibration object.,c0/c2/G_N/H0 are bridge calibration symbols and cannot mutate core a0/a2 trace shapes.
D0-HURWITZ-INTERNAL-DIMENSION-SELECTOR-001,BOOK_04,formal_core,core,CORE-FORMALIZED,STATUS-CHECK-REQUIRED,False,,LEAN_PROVED,describe only after status audit,Lean-owned finite/formal D0 core statement.,D0 core dimension selection is finite and internal; octonion witness is finite composition data not an associative Matrix 8 8 algebra.
D0-GAUGE-WILSON-LINK-COVARIANCE-001,BOOK_05/06,gauge_bridge,core,CORE-FORMALIZED,STATUS-CHECK-REQUIRED,False,,LEAN_PROVED,describe only after status audit,Gauge-sector statement; physical Yang-Mills interpretation remains bridge-scoped when assumptions appear.,Finite gauge covariance is closed on group-valued Wilson links by path rewriting and inverse cancellation.
