claim_id,value,strength,quadrant,carries,cites,rests_on,depth,genesis,v1_structural,v2_semantic,v3_falsifiable,v4_foundation,v5_external,value_floored,external_question,lean_status,release_status,book,lean_module
D0-LEPTON-PUISEUX-UNIQUENESS-OBSTRUCTION-001,54.6,100,FRONT-DOOR,0,8,2,2,False,16.8,17.8,20.0,0.0,0.0,,,LEAN_PROVED,NO-GO,BOOK_04,D0.Matter.LeptonPuiseuxUniquenessObstruction
D0-POSTCORE-REPRESENTATION-EXTENSION-NOGO-001,54.6,100,FRONT-DOOR,9,2,0,0,True,13.6,9.0,20.0,12.0,0.0,,,LEAN_PROVED,NO-GO,BOOK_04,D0.Extensions.RepresentationReadoutExtension
D0-CASCADE-INSUFFICIENCY-CHAIN-001,54.5,5,ATTACK-QUEUE,2,9,5,2,False,17.6,15.9,0.0,1.0,20.0,,"Can the structure of a physical theory be DERIVED as a chain of insufficiencies -- each level forced because the previous provably fails a named distinguishability obligation -- rather than posited? This is the claim by which an outside reader would judge the whole programme, and it is the standing answer to the objection that D0's root is verbal.",OPEN,PROOF-TARGET,BOOK_01,D0.Foundation.CascadeChain
D0-EQUIVARIANT-SEAM-NOGO-001,54.3,100,FRONT-DOOR,5,0,1,1,False,10.6,20.0,20.0,3.8,0.0,,,LEAN_PROVED,NO-GO,BOOK_02,D0.Synthesis.EquivariantSeamNoGo
D0-PISOT-CONTRACTION-TIME-ARROW-001,54.2,100,FRONT-DOOR,25,0,1,1,False,19.2,9.0,0.0,6.0,20.0,,The thermodynamic arrow of time normally requires an independent low-entropy past hypothesis. Deriving monotonicity from spectral decay of a finite operator removes that separate postulate.,LEAN_PROVED,CORE-FORMALIZED,BOOK_06,D0.Dynamics.PisotContraction
D0-SCENE-NATIVE-MULTISCALE-TOWER-NOGO-001,54.0,100,FRONT-DOOR,13,4,1,1,False,15.5,12.4,20.0,6.0,0.0,,,LEAN_PROVED,NO-GO,BOOK_07,D0.Spectral.SceneNativeMultiscaleTower
D0-LEPTON-BRANCH-SELECTOR-MAXIMALITY-NOGO-001,53.7,100,FRONT-DOOR,0,5,0,0,True,13.7,20.0,20.0,0.0,0.0,,,LEAN_PROVED,NO-GO,BOOK_04,D0.Matter.LeptonBranchAssignmentNoGo
D0-ALPHA-LOG-CESARO-MEASURABILITY-NOGO-001,53.1,70,FRONT-DOOR,5,2,2,2,False,10.6,20.0,20.0,2.5,0.0,,,LEAN_PROVED_WITH_BRIDGE_ASSUMPTIONS,NO-GO,BOOK_02,D0.Spectral.AlphaLogCesaroMeasurability
D0-DSIGMA-ROLE-CYCLE-CARRIER-CANONICAL-NOGO-001,52.2,100,FRONT-DOOR,0,7,0,0,True,15.9,16.3,20.0,0.0,0.0,,,LEAN_PROVED,NO-GO,BOOK_04,D0.Matter.DSigmaRoleCycleCarrierNoGo
D0-TORAL-AUTOMORPHISM-GALOIS-BALANCE-001,51.6,100,FRONT-DOOR,41,1,0,0,True,22.0,13.6,4.0,12.0,0.0,,,LEAN_PROVED,CORE-FORMALIZED,BOOK_03/06/07/08,D0.Dynamics.ToralAutomorphism;D0.Dynamics.GaloisConjugateBalance;D0.Dynamics.DarkSectorCoarseGrain
D0-HIGGS-CONDENSATION-PRESENT-CORE-MAXIMALITY-NOGO-001,51.6,100,FRONT-DOOR,6,4,2,2,False,12.3,16.3,20.0,3.0,0.0,,,LEAN_PROVED,NO-GO,BOOK_04,D0.Matter.HiggsCondensationPresentCoreMaximalityNoGo
D0-PHASON-MAGNITUDE-MAXIMALITY-NOGO-001,51.4,100,FRONT-DOOR,2,7,2,2,False,15.9,14.5,20.0,1.0,0.0,,,LEAN_PROVED,NO-GO,BOOK_08,D0.Cosmology.PhasonMagnitudeMaximalityNoGo
D0-EXTERNAL-DIXMIER-WODZICKI-PASSPORT-001,50.3,55,FRONT-DOOR,0,4,0,0,True,12.3,20.0,18.0,0.0,0.0,,,PYTHON_CERTIFIED,PASSPORT-CLOSED,BOOK_03,D0.Bridge.DixmierTraceBridge
D0-SYMPLECTIC-GLEASON-001,50.0,100,FRONT-DOOR,0,1,1,1,False,5.3,11.7,13.0,0.0,20.0,,"Gleason's theorem requires dim>=3; in dim 2 the Born rule is NOT derivable from frame functions. The 2D case is a named open loophole, closed in the literature only by moving to POVMs.",LEAN_PROVED,CORE-FORMALIZED,BOOK_01,D0.Synthesis.CarrierForcing
D0-ALPHA-PROFINITE-TOWER-NOGO-001,48.9,100,FRONT-DOOR,7,5,2,2,False,13.7,11.8,20.0,3.5,0.0,,,LEAN_PROVED,NO-GO,BOOK_03,D0.Spectral.AlphaProfiniteTowerNoGo
D0-COSMO-HOMOGENEOUS-FIXED-POINT-001,48.7,100,FRONT-DOOR,16,0,0,0,True,16.7,20.0,0.0,12.0,0.0,,,LEAN_PROVED,CORE-FORMALIZED,BOOK_08,D0.Cosmology.ArchiveHomogeneousState
D0-TORUS-CORE13-GEOMETRY-001,48.6,100,FRONT-DOOR,10,2,0,0,True,14.1,18.4,4.0,12.0,0.0,,,LEAN_PROVED,CORE-FORMALIZED,BOOK_02/03,D0.Geometry.TorusCore13GeometryOrigin
D0-REHEATING-NO-INFLATON-NOGO-001,48.4,100,FRONT-DOOR,0,2,2,2,False,8.4,20.0,20.0,0.0,0.0,,,LEAN_PROVED,NO-GO,BOOK_08,D0.Cosmology.InflationlessThresholdEnergyOwner
D0-ARCHIVE-TOWER-001,48.2,100,FRONT-DOOR,20,2,0,0,True,17.9,18.3,0.0,12.0,0.0,,,LEAN_PROVED,CORE-FORMALIZED,BOOK_06/07,D0.Geometry.ArchiveRefinementTower
D0-CVFT-F1,48.2,70,FRONT-DOOR,6,0,1,1,False,11.5,17.2,15.0,4.5,0.0,,,LEAN_PROVED_WITH_BRIDGE_ASSUMPTIONS,NO-GO,BOOK_02/04/08,D0.Spectral.DeltaAlphaResidueBlocked
D0-ISING-ANYON-EXCLUSION-001,48.0,100,FRONT-DOOR,0,3,2,1,False,10.6,9.0,15.0,0.0,13.4,,"The companion exclusion: Ising is ruled out by its extra fermion, so the phi-route is not one choice among several.",LEAN_PROVED,NO-GO,BOOK_01,D0.Geometry.FibonacciAnyonUniqueness
D0-DIXMIER-RESIDUE-OWNER-001,48.0,70,FRONT-DOOR,0,22,0,0,True,24.0,20.0,4.0,0.0,0.0,,,LEAN_PROVED_WITH_BRIDGE_ASSUMPTIONS,BRIDGE-ASSUMPTIONS-EXPLICIT,BOOK_02,D0.Bridge.DixmierTraceBridge
D0-FIBONACCI-ANYON-UNIQUENESS-001,47.7,100,FRONT-DOOR,0,4,2,1,False,12.3,9.0,13.0,0.0,13.4,,"The Fibonacci category is the unique fusion category with two simple objects and non-trivial self-fusion (Ostrik), giving d=phi independently of the detector argument.",LEAN_PROVED,CERT-CLOSED,BOOK_01,D0.Geometry.FibonacciAnyonUniqueness
D0-CANONICAL-WITHIN-ZONE-SELECTOR-M1-NOGO-001,47.6,100,FRONT-DOOR,0,5,0,0,True,13.7,13.9,20.0,0.0,0.0,,,LEAN_PROVED,NO-GO,BOOK_01,D0.Foundation.CanonicalSelectorNoGo
D0-REPRESENTATION-RECONSTRUCTION-MAXIMALITY-NOGO-001,47.3,100,FRONT-DOOR,4,4,0,0,True,12.3,9.0,20.0,6.0,0.0,,,LEAN_PROVED,NO-GO,BOOK_04,D0.Representation.FinitePathRepresentation
D0-SM-HYPERCHARGE-MINIMAL-DENOMINATOR-001,47.1,100,FRONT-DOOR,0,7,0,0,True,15.9,18.2,13.0,0.0,0.0,,,LEAN_PROVED,CERT-CLOSED,BOOK_04,D0.Matter.HyperchargeMinimalDenominator
D0-TORAL-SEED-MARKOV-MAXIMALITY-NOGO-001,47.1,100,FRONT-DOOR,2,4,0,0,True,12.3,11.8,20.0,3.0,0.0,,,LEAN_PROVED,NO-GO,BOOK_06,D0.Geometry.ToralSeedMarkovMaximalityNoGo
D0-SCENE-DARK-ARCHIVE-STRUCTURE-001,47.1,100,FRONT-DOOR,12,1,0,0,True,15.1,20.0,0.0,12.0,0.0,,,LEAN_PROVED,CORE-FORMALIZED,BOOK_04,D0.Spectral.DarkArchiveStructure
D0-ADLER-WEISS-PARTITION-OWNER-001,46.9,70,FRONT-DOOR,0,19,0,0,True,22.9,20.0,4.0,0.0,0.0,,,LEAN_PROVED_WITH_BRIDGE_ASSUMPTIONS,BRIDGE-ASSUMPTIONS-EXPLICIT,BOOK_06,D0.Bridge.AdlerWeissBridge
D0-ARCHIVE-FIELD-EQ-001,46.7,100,FRONT-DOOR,7,0,0,0,True,12.2,20.0,4.0,10.5,0.0,,,LEAN_PROVED,CORE-FORMALIZED,BOOK_07,D0.Geometry.ArchiveFieldEquation
D0-POSTCORE-PHASON-EXTENSION-MAXIMALITY-NOGO-001,46.6,100,FRONT-DOOR,9,1,2,2,False,13.6,9.0,20.0,4.0,0.0,,,LEAN_PROVED,NO-GO,BOOK_08,D0.Extensions.ArchiveCoordinateExtension
D0-ARCHIVE-CONTRACTION-NOGO-001,46.5,100,FRONT-DOOR,2,4,1,1,False,12.3,12.7,20.0,1.5,0.0,,,LEAN_PROVED,NO-GO,BOOK_08,D0.Cosmology.ArchiveContractionCriterion
D0-BRANCH-SYMPLECTIC-FORCING-001,46.2,100,FRONT-DOOR,0,0,0,0,True,0.0,17.2,9.0,0.0,20.0,,"Linearity of quantum superposition is a POSTULATE in every standard axiomatisation. Deriving it from a no-external-catalogue requirement would remove a postulate, not restate it.",LEAN_PROVED,CORE-FORMALIZED,BOOK_01,D0.Foundation.BranchSymplecticForcing
D0-NO-GO-EDGE-STIFFNESS-SCALAR-LEAKAGE-001,46.0,100,FRONT-DOOR,3,0,2,2,False,8.2,16.3,20.0,1.5,0.0,,,LEAN_PROVED,NO-GO,BOOK_08,D0.Geometry.EdgeStiffnessOrigin
D0-AF-REDUCTION-EXHAUSTION-001,45.9,100,FRONT-DOOR,0,3,3,2,False,10.6,15.3,20.0,0.0,0.0,,,LEAN_PROVED,NO-GO,BOOK_02,D0.VNext.AFReductionExhaustion
D0-VNEXT2-SCENE-NATIVE-REFINEMENT-NOGO-001,45.8,100,FRONT-DOOR,0,8,1,1,False,16.8,9.0,20.0,0.0,0.0,,,LEAN_PROVED,NO-GO,BOOK_02,D0.VNext2.SceneNativeRefinementClassification
D0-ADMISSIBLE-COMPARISON-GRAMMAR-BOUNDARY-001,45.6,100,FRONT-DOOR,1,2,6,4,False,8.4,16.9,20.0,0.3,0.0,,,LEAN_PROVED,NO-GO,BOOK_00/01,D0.Foundation.AdmissibleComparisonGrammar
D0-P-M1-SATURATION-001,45.5,45,ATTACK-QUEUE,1,7,8,4,False,15.9,16.3,13.0,0.3,0.0,,,LEAN_PROVED,PROOF-TARGET,BOOK_01,D0.Foundation.M1CoreSaturation
D0-GAP-E-PORT-EXHAUSTION-001,45.5,45,ATTACK-QUEUE,0,5,6,4,False,13.7,18.8,13.0,0.0,0.0,,,LEAN_PROVED,PROOF-TARGET,BOOK_01,D0.Tower.PortPowerExhaustion
D0-TOWER-STOP-NOEXT-001,45.5,5,ATTACK-QUEUE,7,6,3,2,False,14.9,14.1,13.0,3.5,0.0,,,OPEN,PROOF-TARGET,BOOK_05,D0.Tower.NoExtension;D0.Tower.NoExtensionBoundary
D0-PHASON-PRESSURE-ENERGY-MAXIMALITY-NOGO-001,45.1,100,FRONT-DOOR,0,3,3,3,False,10.6,14.5,20.0,0.0,0.0,,,LEAN_PROVED,NO-GO,BOOK_08,D0.Extensions.ArchiveCommonSectorConstruction
D0-TRANSPORT-FIELD-NO-GOLDEN-001,45.1,100,FRONT-DOOR,0,3,9,3,False,10.6,14.5,20.0,0.0,0.0,,,LEAN_PROVED,NO-GO,BOOK_02,D0.Synthesis.TransportFieldNoGolden
D0-POSTCORE-HISTORY-REFINEMENT-MAXIMALITY-NOGO-001,44.7,100,FRONT-DOOR,6,1,2,2,False,11.5,17.2,13.0,3.0,0.0,,,LEAN_PROVED,CORE_BRIDGE_SPLIT,BOOK_07,D0.Extensions.SceneHistoryRefinementExtension
D0-RAW-SCENE-GRAPH-001,44.7,100,FRONT-DOOR,9,3,0,0,True,13.6,15.1,4.0,12.0,0.0,,,LEAN_PROVED,CERT-CLOSED,BOOK_00,D0.SelfReading.RawSceneGraph
D0-PHASON-WZ-TRANSFER-OWNER-001,44.4,100,FRONT-DOOR,0,6,3,3,False,14.9,14.5,15.0,0.0,0.0,,,LEAN_PROVED,NO-GO,BOOK_08,D0.Extensions.ArchiveCommonSectorConstruction
D0-REPEATED-ZONE-M1-NOGO-001,44.2,100,FRONT-DOOR,2,0,3,2,False,6.5,16.7,20.0,1.0,0.0,,,LEAN_PROVED,NO-GO,BOOK_05,D0.Tower.NoExtensionBoundary
D0-DEGREE2-VALUE-EXHAUSTION-NOGO-001,44.2,100,FRONT-DOOR,2,0,3,2,False,6.5,16.7,20.0,1.0,0.0,,,LEAN_PROVED,NO-GO,BOOK_05,D0.Tower.NoExtensionBoundary
D0-P-DEGREE2-EXHAUSTION-001,44.2,5,ATTACK-QUEUE,6,6,3,2,False,14.9,13.3,13.0,3.0,0.0,,,OPEN,PROOF-TARGET,BOOK_00/01,D0.Tower.NoExtension;D0.Tower.DetectionQuadratic;D0.Tower.NoExtensionBoundary
D0-TIME-2D-PISOT-001,44.1,100,FRONT-DOOR,2,5,1,1,False,13.7,11.5,4.0,1.5,13.4,,"The time layer is 2-dimensional because deg Q(phi)=2, and a smooth Markov partition of a toral automorphism exists iff the spectrum is Pisot - so 2 is the only pathology-free choice.",LEAN_PROVED,CORE-FORMALIZED,BOOK_06,D0.Claims.Time2DPisot
D0-CMB-NS-SMOOTHING-UNDETERMINED-NOGO-001,44.1,100,FRONT-DOOR,3,3,0,0,True,10.6,9.0,20.0,4.5,0.0,,,LEAN_PROVED,NO-GO,BOOK_08,D0.Cosmology.CMBNsSmoothingUndeterminedNoGo
D0-GENERAL-COMPARISON-CAPABILITY-COUNT-001,43.9,100,FRONT-DOOR,3,2,0,0,True,8.4,20.0,11.0,4.5,0.0,,,LEAN_PROVED,NO-GO,BOOK_00/01,D0.Foundation.GeneralComparisonGrammar
D0-BRIDGE-SI-CALIBRATION-CLOSURE-001,43.5,100,FRONT-DOOR,2,0,0,0,True,6.5,20.0,14.0,3.0,0.0,,,LEAN_PROVED,BRIDGE-CALIBRATION,BOOK_08,D0.Bridge.SICalibrationClosure
D0-INFORMATION-QUASICRYSTAL-PHASE-UNFOLDING-001,43.1,100,FRONT-DOOR,12,0,2,1,False,15.1,9.0,13.0,6.0,0.0,,,LEAN_PROVED,CORE-FORMALIZED,BOOK_00/01/06/07/08,D0.Geometry.HurwitzRigidPhaseGenerator;D0.Geometry.PhaseReturnBranchCount;D0.Geometry.PhaseUnfoldingQuasicrystal
D0-CMB-CANONICAL-SMOOTHING-MAXIMALITY-NOGO-001,42.8,100,FRONT-DOOR,2,4,1,1,False,12.3,9.0,20.0,1.5,0.0,,,LEAN_PROVED,NO-GO,BOOK_08,D0.Cosmology.CMBCanonicalSmoothingMaximalityNoGo
D0-CKM-OVERLAP-UNDERDETERMINATION-NOGO-001,42.6,100,FRONT-DOOR,2,3,0,0,True,10.6,9.0,20.0,3.0,0.0,,,LEAN_PROVED,NO-GO,BOOK_04,D0.Matter.CKMOverlapUnderdeterminationNoGo
D0-P-SUBCRIT-001,42.6,100,FRONT-DOOR,0,4,8,4,False,12.3,17.2,13.0,0.0,0.0,,,LEAN_PROVED,CORE-FORMALIZED,BOOK_02,D0.Foundation.M1CoreSaturation;D0.Spectral.SubcriticalTraceClass
D0-RANK3-CAUSAL-CONE-FORCING-001,42.5,100,FRONT-DOOR,0,8,3,3,False,16.8,12.7,13.0,0.0,0.0,,,LEAN_PROVED,CORE_BRIDGE_SPLIT,BOOK_07,D0.Synthesis.RankCausalConeForcing
D0-ALPHA-HOLONOMY-002,42.4,55,FRONT-DOOR,0,11,0,,,19.0,6.0,4.0,0.0,13.4,,"A parameter-free expression for the fine-structure constant. External interest is maximal and the leading term is structurally rare; the 9-digit VALUE remains a consequence-grade check, not a derivation - weight is set at 2 for that reason.",PYTHON_CERTIFIED,CERT-CLOSED,BOOK_02,
D0-COSMO-ENTROPY-FLOW-FIXED-POINT-001,42.3,100,FRONT-DOOR,15,0,1,1,False,16.3,20.0,0.0,6.0,0.0,,,LEAN_PROVED,CORE-FORMALIZED,BOOK_08,D0.Cosmology.EntropyArchiveFlow
D0-LEPTON-BRANCH-FIXING-OPERATOR-OWNER-001,42.2,100,FRONT-DOOR,0,1,3,3,False,5.3,16.9,20.0,0.0,0.0,,,LEAN_PROVED,NO-GO,BOOK_04,D0.Extensions.LeptonBranchFixingNoGo
D0-NO-GO-ABSTRACT-LIERING-FINITE-TRANSFORM-001,42.1,100,FRONT-DOOR,1,0,1,1,False,4.1,17.2,20.0,0.8,0.0,,,LEAN_PROVED,NO-GO,BOOK_05/06,D0.Gauge.MatrixRepGaugeTransform
D0-GRAVITY-ENTROPIC-ARCHIVE-001,42.1,100,FRONT-DOOR,5,0,0,0,True,10.6,20.0,4.0,7.5,0.0,,,LEAN_PROVED,CORE-FORMALIZED,BOOK_07,D0.Gravity.EntropicArchiveInterface
D0-FOUND-004,42.1,100,FRONT-DOOR,5,0,0,0,True,10.6,20.0,4.0,7.5,0.0,,,LEAN_PROVED,CORE-FORMALIZED,BOOK_02,D0.Core.BornQuadraticResponse
D0-HYPERCHARGE-ANOMALY-VARIETY-2DIM-001,42.0,100,FRONT-DOOR,0,6,1,1,False,14.9,12.1,15.0,0.0,0.0,,,LEAN_PROVED,NO-GO,BOOK_04,D0.Matter.HyperchargeAnomalyVariety
D0-TRACE-HEAT-CAPACITY-GRAVITY-001,41.9,100,FRONT-DOOR,3,2,19,8,False,8.4,20.0,13.0,0.5,0.0,,,LEAN_PROVED,CORE_BRIDGE_SPLIT,BOOK_01/03/06/07/08,D0.Core.FixedDetectorTimeLadder;D0.Dynamics.TraceHeatCapacityGravity
D0-BARE-GRAPH-DECIMAL-NOGO-001,41.9,55,FRONT-DOOR,0,7,0,,,15.9,6.0,20.0,0.0,0.0,,,PYTHON_CERTIFIED,NO-GO,BOOK_04,
D0-RANK3-METRIC-TRANSPORT-001,41.7,100,FRONT-DOOR,0,2,0,0,True,8.4,15.9,4.0,0.0,13.4,,"A forced falsifier, now an IFF: the carrier-level spatial transport form is anisotropic EXACTLY when the zones are unequal (D0-TRIPARTITE-SIGNATURE-GENERAL-001 proves both directions, the converse via the AM-GM equality case). Observing an isotropic carrier form would require equal zones and would kill the scene. Planck-suppressed, but structurally a real and now two-sided prediction.",LEAN_PROVED,CORE-FORMALIZED,BOOK_07,D0.VNext2.Rank3MetricSignature
D0-SPECTRAL-EINSTEIN-001,41.6,100,FRONT-DOOR,0,9,0,0,True,17.6,20.0,4.0,0.0,0.0,,,LEAN_PROVED,CORE_BRIDGE_SPLIT,BOOK_07/08,D0.VNext2.SpectralEinsteinResponse
D0-EDGE-RAMIFICATION-001,41.4,100,FRONT-DOOR,3,9,0,0,True,17.6,15.3,4.0,4.5,0.0,,,LEAN_PROVED,CORE-FORMALIZED,BOOK_04,D0.Edge.RamificationFromUeEffCompanion
D0-HIGGS-SCALAR-PROJECTOR-CONSTRUCTIVE-001,41.3,100,FRONT-DOOR,1,2,0,0,True,8.4,18.4,13.0,1.5,0.0,,,LEAN_PROVED,CORE-FORMALIZED,BOOK_04,D0.Matter.HiggsScalarProjectorConstructive
D0-STATIC-TO-DYNAMICS-OWNER-001,40.8,100,FRONT-DOOR,0,8,10,4,False,16.8,20.0,4.0,0.0,0.0,,,LEAN_PROVED,CERT-CLOSED,BOOK_06,D0.Evolution.StaticToDynamicsOwner
D0-POSTCORE-LEPTON-SELECTOR-MAXIMALITY-NOGO-001,40.8,100,FRONT-DOOR,4,1,2,2,False,9.5,9.3,20.0,2.0,0.0,,,LEAN_PROVED,NO-GO,BOOK_04,D0.Extensions.LeptonSelectorExtension
D0-DIXMIER-FESHBACH-FINITE-HEATTRACE-001,40.7,100,FRONT-DOOR,0,4,0,0,True,12.3,13.4,15.0,0.0,0.0,,,LEAN_PROVED,NO-GO,BOOK_02,D0.Spectral.DixmierFeshbachFiniteHeatTrace
D0-ALPHA-PROFINITE-SPECTRAL-TOWER-OWNER-001,40.6,100,FRONT-DOOR,19,3,1,1,False,17.6,13.0,4.0,6.0,0.0,,,LEAN_PROVED,CERT-CLOSED,BOOK_03,D0.Spectral.AlphaProfiniteSpectralTower
D0-ARCHIVE-WEAK-FIELD-001,40.5,100,FRONT-DOOR,2,0,2,2,False,6.5,20.0,13.0,1.0,0.0,,,LEAN_PROVED,CORE-FORMALIZED,BOOK_07/08,D0.Geometry.ArchivePoissonEquation
D0-GEOM-HEAT-TRACE-A2-DECOMP-001,40.5,100,FRONT-DOOR,10,0,4,4,False,14.1,20.0,4.0,2.4,0.0,,,LEAN_PROVED,CORE-FORMALIZED,BOOK_08,D0.Geometry.HeatTraceA2Decomposition
D0-DETECTION-CAPABILITY-THIRD-HISTORY-NOGO-001,40.5,100,FRONT-DOOR,2,1,1,1,False,6.5,12.5,20.0,1.5,0.0,,,LEAN_PROVED,NO-GO,BOOK_00/01,D0.Foundation.DetectionCapabilityBoundary
D0-IM-COSMO-001,40.4,100,FRONT-DOOR,1,7,2,2,False,15.9,20.0,4.0,0.5,0.0,,,LEAN_PROVED,CORE-FORMALIZED,BOOK_08,D0.Cosmology.ArchiveConvexity
D0-SDE-CUBIC-SPECTRAL-DISJOINTNESS-001,40.3,100,FRONT-DOOR,6,3,6,4,False,11.5,16.0,11.0,1.8,0.0,,,LEAN_PROVED,NO-GO,BOOK_08,D0.Synthesis.SDECubicSpectralDisjointness
D0-SCENE-HISTORY-REFINEMENT-RULE-OWNER-001,40.3,100,FRONT-DOOR,0,1,3,3,False,5.3,20.0,15.0,0.0,0.0,,,LEAN_PROVED,NO-GO,BOOK_06,D0.Extensions.SceneHistoryRefinementConstruction
D0-LEPTON-BRANCH-ROW-MINIMAL-EXTENSION-001,40.3,100,FRONT-DOOR,0,1,0,0,True,5.3,15.0,20.0,0.0,0.0,,,LEAN_PROVED,NO-GO,BOOK_04,D0.LeptonClosure.BranchRowMinimalExtension
D0-NO-GO-FLAT-TENSOR-NONABELIAN-001,40.1,100,FRONT-DOOR,1,0,0,0,True,4.1,14.5,20.0,1.5,0.0,,,LEAN_PROVED,NO-GO,BOOK_08,D0.Gauge.FlatTensorNoGo
D0-NO-GO-NAIVE-LOCAL-GAUGE-COVARIANCE-001,40.1,100,FRONT-DOOR,1,0,0,0,True,4.1,14.5,20.0,1.5,0.0,,,LEAN_PROVED,NO-GO,BOOK_05/06,D0.Gauge.WilsonLinkGaugeCovariance
D0-NO-GO-UNGRADED-BIANCHI-RESIDUAL-001,40.1,100,FRONT-DOOR,1,0,0,0,True,4.1,14.5,20.0,1.5,0.0,,,LEAN_PROVED,NO-GO,BOOK_05/06,D0.Gauge.GradedBianchiIdentity
D0-VNEXT-DIRAC-LAPLACIAN-COMPATIBILITY-OWNER-001,40.1,100,FRONT-DOOR,0,2,0,0,True,8.4,16.7,15.0,0.0,0.0,,,LEAN_PROVED,NO-GO,BOOK_02,D0.VNext.AFD0LaplacianComparisonNoGo
D0-YUKAWA-COMMUTANT-SPECTRUM-001,40.1,100,FRONT-DOOR,1,3,2,2,False,10.6,20.0,9.0,0.5,0.0,,,LEAN_PROVED,CORE-FORMALIZED,BOOK_04,D0.Synthesis.YukawaCommutantSpectrum
D0-BRIDGE-SI-CALIBRATION-BOUNDARY-001,40.1,55,FRONT-DOOR,1,0,1,1,False,4.1,17.2,18.0,0.8,0.0,,,PYTHON_CERTIFIED,BRIDGE-CALIBRATION,BOOK_08,D0.Bridge.SICalibrationBoundary
D0-ARCHIVE-BIANCHI-001,40.0,100,FRONT-DOOR,6,0,1,1,False,11.5,20.0,4.0,4.5,0.0,,,LEAN_PROVED,CORE-FORMALIZED,BOOK_07,D0.Geometry.ArchiveBianchiIdentity
D0-QUASI008-PHASON-FLIP-ENTROPY-SDE-001,39.9,100,FRONT-DOOR,8,0,4,3,False,12.9,20.0,4.0,3.0,0.0,,,LEAN_PROVED,CORE-FORMALIZED,BOOK_07/08,D0.Cosmology.PhasonFlipEntropy
D0-RIEFFEL-GHP-CONTINUUM-OWNER-001,39.9,70,FRONT-DOOR,0,7,0,0,True,15.9,20.0,4.0,0.0,0.0,,,LEAN_PROVED_WITH_BRIDGE_ASSUMPTIONS,BRIDGE-ASSUMPTIONS-EXPLICIT,BOOK_07,D0.Bridge.RieffelGHPBridge
