claim_id,book,section,lean_module,lean_theorem,lean_status,uses_bridge_assumptions,assumption_ids,python_cert,release_status,notes
D0-ARCHIVE-TOWER-001,BOOK_06/07,archive refinement tower,D0.Geometry.ArchiveRefinementTower,terminal_readout_stable;archive_depth_strictly_increases;spectral_modes_strictly_increase;archive_projection_surjective,LEAN_PROVED,False,,,CORE-FORMALIZED,Terminal readout stable while archive/spectral refinement grows.
D0-ARCHIVE-MODE-EXPONENT-001,BOOK_07/08,forced archive mode exponent,D0.Geometry.ArchiveModeExponent,archive_mode_exponent_eq_abcd;archive_mode_exponent_eq_lorentz_dimension;archive_modes_forced,LEAN_PROVED,False,,,CORE-FORMALIZED,Archive exponent 4 forced by ABCD/Lorentz carrier dimension.
D0-ARCHIVE-HEATTRACE-001,BOOK_07/08,archive heat trace and Weyl cert,D0.Geometry.ArchiveHeatTrace,heat_trace_positive;heat_trace_projection_compatible,PYTHON_CERTIFIED,False,,vp_archive_heat_trace_weyl_dimension.py,CERT-CLOSED,Lean structural heat trace skeleton plus Weyl dimension cert.
D0-ARCHIVE-LAPLACIAN-001,BOOK_07,archive Laplacian properties,D0.Geometry.ArchiveLaplacianProperties,archive_laplacian_symmetric;archive_laplacian_nonnegative;archive_laplacian_zero_mode_control,LEAN_PROVED,False,,,CORE-FORMALIZED,Finite archive Laplacian is symmetric/nonnegative with zero-mode control.
D0-ARCHIVE-RESOLVENT-001,BOOK_07,archive resolvent compactness analogue,D0.Geometry.ArchiveResolventCompactness,finite_stage_resolvent_compact;archive_spectral_tightness_from_mode_growth;d0_archive_profinite_resolvent_compactness,LEAN_PROVED,False,,,CORE-FORMALIZED,Finite-stage compactness/projection/tightness structure for archive tower.
D0-SPECTRAL-ACTION-ADMISS-001,BOOK_07,D0-side spectral action admissibility,D0.Geometry.SpectralActionAdmissibility,d0_archive_satisfies_structural_admissibility,PYTHON_CERTIFIED,False,,vp_spectral_action_eh_coefficient.py;vp_spectral_action_expansion_stability.py,CERT-CLOSED,D0-side admissibility and coefficient/cutoff certs; external analytic theorem not internalized.
D0-HST-ARCHIVE-001,BOOK_06/08,HST archive external theorem interface,D0.Probability.HSTExternalInterface,hst_admissible_from_certificates;entropy_kernel_exists_if_HST,PYTHON_CERTIFIED,False,,vp_archive_subgaussian_hst_admissibility.py;vp_archive_convex_order_domination.py,CERT-CLOSED,HST is external theorem object; D0-side archive hypotheses are cert-backed.
D0-ARCHIVE-ENTROPY-001,BOOK_06/08,archive entropy softmax coupling,D0.Probability.EntropyCouplingKernel,archive_entropy_kernel_exists_if_HST;archive_forgetting_channel_unique,PYTHON_CERTIFIED,False,,vp_archive_entropy_softmax_coupling.py,CERT-CLOSED,Entropy-selected archive coupling interface plus finite-stage softmax coupling cert.
D0-DM-CLASSICALITY-001,BOOK_06/08,weak-coupling detector classicalization guardrail,D0.Detector.WeakCouplingClassicalization,weak_coupling_readout_classical_guardrail,PYTHON_CERTIFIED,False,,vp_dm_classicality_guardrail.py,CERT-CLOSED,Weak-coupling/mode-averaging nonclassical signature suppression guardrail.
D0-ARCHIVE-GAUSSIAN-CHANNEL-001,BOOK_06/08,archive classical Gaussian macro-channel,D0.Probability.ArchiveClassicalGaussianChannel,archive_macro_channel_classical_gaussian,LEAN_PROVED,False,,,CORE-FORMALIZED,Combines HST interface and detector classicalization as typed macro-channel statement.
D0-GRAV-QNM-001,BOOK_07,QNM finite-boundary empirical passport gate,D0.Gravity.BoundaryRelaxationSpectrum,qnm_passport_requires_preregistered_inputs,PYTHON_CERTIFIED,False,,vp_qnm_delta0_overtone_ladder.py,NO_GO_PROVED,QNM ladder passport is blocked without preregistered model and extracted modes table.
D0-GENERATION-RAYS-001,BOOK_04,generation spectral-ray theorem attempt,D0.Spectrum.GenerationSpectralRays,NO_GO_GENERATION_RAYS_UNDEFINED,LEAN_PROVED,False,,,NO_GO_PROVED,"Bare K(9,11,13) spectral cluster generation route is no-go. Core generation index is instead D0-GEN-INDEX-001 via projective branch-defect rays."
D0-GEN-INDEX-001,BOOK_04,branch-defect projective generation index,D0.Spectrum.BranchDefectProjectiveGeneration,exactly_three_projective_branch_defect_generations;defectAction_order_three;defect_generation_card,LEAN_PROVED,False,,vp_pi0_branch_defect_generation.py,CORE-FORMALIZED,Generation index is the projective closure P1(F2) of the minimal two-branch defect plane; masses/Yukawa hierarchy are not included.
D0-GEN-MASS-001,BOOK_04,generation mass and phenomenological clustering,D0.Spectrum.BranchDefectProjectiveControls,branch_defect_projective_proof_closed,LEAN_PROVED,False,,vp_pi0_branch_defect_generation.py,NO_GO_PROVED,Core index is proved; physical masses/Yukawa hierarchy/PDG clustering require additional physical input and are not core theorems.
D0-ARCHIVE-PHASE-DISTANCE,BOOK_06/07,archive phase distance,D0.Geometry.ArchivePhaseDistance,archivePhaseDistance_nonnegative;archivePhaseDistance_symmetric;archivePhaseDistance_zero_iff,LEAN_PROVED,False,,,CORE-FORMALIZED,Metric on finite fibers.
D0-ARCHIVE-LAPLACIAN-PHASE-NATURALITY,BOOK_07,archive Laplacian phase naturality,D0.Geometry.ArchiveLaplacianPhaseNaturality,NO_GO_ARCHIVE_PHASE_LOCAL_UNIQUENESS,LEAN_PROVED,False,,,NO_GO_PROVED,Naturality alone does not uniquely fix the operator without further phase structure.
D0-ARCHIVE-PHASE-CURVATURE,BOOK_07,archive phase curvature,D0.Geometry.ArchivePhaseCurvatureObstruction,phase_flat_iff_zero_curvature_obstruction;NO_GO_PHASE_LAPLACIAN_PROJECTIVE_COMPATIBILITY;NO_GO_PHASE_CURVATURE_OBSTRUCTION,LEAN_PROVED,False,,,CORE-FORMALIZED,Nonvanishing curvature obstruction on refined phase fibers.
D0-ARCHIVE-LAPLACIAN-RG,BOOK_07,renormalized archive Laplacian RG geometry,D0.Geometry.ArchiveLaplacianRG,archiveRGPhaseProjection_surjective;rg_curvature_zero_iff_exact_compatibility;rg_operator_curvature_zero_iff_renormalized_compatibility;rg_flat_curvature_zero_iff_exact_flat_compatibility;exact_projective_compatibility_fails,PYTHON_CERTIFIED,False,,vp_archive_laplacian_rg_flow.py,CERT-CLOSED,Nearest-neighbor phase Laplacian is not strictly projective; RG residual/curvature obstruction is tracked by scale-fit cert.
D0-ARCHIVE-SEAM-CURVATURE-001,BOOK_07,seam curvature density,D0.Geometry.ArchiveCurvatureDensity,seamCommutator_zero_iff_operator_transport_flat;seamCurvatureDensity_nonnegative;seamCurvatureDensity_zero_iff_flat,PYTHON_CERTIFIED,False,,vp_archive_seam_curvature_action.py,CERT-CLOSED,Curvature is the seam commutator density; cert checks exact rank two and seam support.
D0-ARCHIVE-ACTION-001,BOOK_07,archive curvature action,D0.Geometry.ArchiveActionFunctional,archiveCurvatureAction_nonnegative;archiveCurvatureAction_zero_iff_all_flat,PYTHON_CERTIFIED,False,,vp_archive_seam_curvature_action.py,CERT-CLOSED,Archive action is accumulated seam curvature and vanishes exactly when all included levels are transport-flat.
D0-ARCHIVE-FIELD-EQ-001,BOOK_07,archive seam-action field equation,D0.Geometry.ArchiveFieldEquation,matrix_hs_square_expansion;first_variation_trace_square;seam_action_variation_quadratic_expansion;stationary_iff_first_variation_zero;vacuum_equation_iff_stationary;sourced_equation_variational_form,PYTHON_CERTIFIED,False,,vp_archive_variational_field_equation.py,CERT-CLOSED,Finite seam-action variation gives the field-gradient pairing and sourced variational equation.
D0-ARCHIVE-BIANCHI-001,BOOK_07,archive Bianchi conservation,D0.Geometry.ArchiveBianchiIdentity,archiveCanonicalLaplacian_row_sum_zero;archiveLiftOperator_row_sum_one;seamCommutator_row_sum_zero;curvature_gradient_conserved;source_must_be_conserved,LEAN_PROVED,False,,vp_archive_variational_field_equation.py,CORE-FORMALIZED,Row-sum conservation of the seam curvature gradient forces conserved archive sources.
D0-MATTER-STRESS-COUPLING-001,BOOK_04,matter archive stress coupling,D0.Matter.ArchiveStressCoupling,Matter.matterStressMatrix_symmetric;Matter.matterStressMatrix_conserved;Matter.generated_matter_source_conserved_if_anomaly_free;Matter.generated_matter_source_zero_if_anomaly_free,LEAN_PROVED,False,,,CORE-FORMALIZED,Generation/anomaly layer defines a symmetric conserved archive stress source; anomaly-free reps give zero source in this minimal coupling.
D0-ARCHIVE-VARIATION-DUAL-001,BOOK_07,archive variation space and dual,D0.Geometry.ArchiveVariationDual,pairing_depends_only_on_symmetric_part;skew_part_annihilates_admissible_variations,LEAN_PROVED,False,,,CORE-FORMALIZED,Admissible variation dual properties.
D0-ARCHIVE-STRESS-REP-001,BOOK_07,canonical conserved stress representative,D0.Geometry.ArchiveStressRepresentative,raw_gradient_equivalent_to_canonical_stress;canonical_stress_symmetric;canonical_stress_conservation_no_go,LEAN_PROVED,False,,,CORE-FORMALIZED,Symmetric representative defined and raw gradient equivalent.
D0-ARCHIVE-WEAK-FIELD-001,BOOK_07/08,discrete weak field and Poisson limit,D0.Geometry.ArchivePoissonEquation,poisson_requires_neutral_source;poisson_solution_unique_mod_constant,LEAN_PROVED,False,,vp_archive_weak_field_poisson.py,CORE-FORMALIZED,Poisson equation has unique solution up to constant.
D0-MATTER-SOURCE-NEUTRALITY-001,BOOK_04/08,neutrality of generated matter source,D0.Matter.GeneratedMatterSource,Matter.generated_matter_source_neutral_if_anomaly_free;Matter.NO_GO_MATTER_SOURCE_NEUTRALITY,LEAN_PROVED,False,,,CORE-FORMALIZED,Generated-source neutrality closes the minimal base interface; nonzero localized sources are handled by D0-MATTER-LOCALIZATION-001.
D0-MATTER-REP-001,BOOK_04,matter representation generation multiplicity,D0.Matter.GenerationMultiplicity,Matter.rep_with_generations_card;Matter.generation_index_does_not_change_gauge_charge;Matter.matter_rep_generation_multiplicity_three,LEAN_PROVED,False,,,CORE-FORMALIZED,Matter generation multiplicity is exactly three.
D0-MATTER-ANOMALY-001,BOOK_04,anomaly preservation in generational structure,D0.Matter.GenerationAnomalyPreservation,Matter.anomaly_sum_triples;Matter.anomaly_zero_preserved,LEAN_PROVED,False,,,CORE-FORMALIZED,Generational anomaly sum structure.
D0-GEOM-OBSTRUCT-001,BOOK_07,flat archive curvature obstruction,D0.Geometry.ArchiveCurvatureObstruction,flat_archive_iff_zero_curvature_obstruction,LEAN_PROVED,False,,,CORE-FORMALIZED,Flat archive iff zero curvature obstruction.
D0-ARCHIVE-STRESS-CONSERVATION-001,BOOK_07,constrained stress representative projection,D0.Frozen.ConservedStressProjection,constrained_projection_applies_to_archive_gradient,LEAN_PROVED,False,,,CORE-FORMALIZED,Constrained representative is symmetric and conserved.
D0-ARCHIVE-SCALAR-REDUCTION-001,BOOK_07,non-vacuous scalar stationarity to Poisson,D0.Active.ScalarPoissonReduction,scalar_stationarity_implies_archive_poisson,LEAN_PROVED,False,,,CORE-FORMALIZED,Stationarity under scalar perturbations reduces to discrete Poisson.
D0-MATTER-LOCALIZATION-001,BOOK_04,conditional matter source neutrality,D0.Active.NonzeroMatterSourceNeutrality,Matter.localized_matter_source_neutral_if_anomaly_free,LEAN_PROVED,False,,,CORE-FORMALIZED,Conditional matter source neutrality under localization assumption.
D0-COSMO-HOMOGENEOUS-FIXED-POINT-001,BOOK_08,Friedmann homogeneous fixed point,D0.Cosmology.ArchiveHomogeneousState,homogeneous_total_eq_value;homogeneous_mass_conserving_fixed_point,LEAN_PROVED,False,,,CORE-FORMALIZED,Homogeneous state mass conservation fixed point.
D0-COSMO-ZERO-MEAN-UNDERDENSE-001,BOOK_08,zero mean mode underdense region,D0.Cosmology.ZeroMeanModes,zero_mean_nonzero_has_negative_component;zero_mean_nonzero_has_positive_component;zero_mean_mode_has_underdense_region,LEAN_PROVED,False,,,CORE-FORMALIZED,Zero-mean modes must have negative (underdense) and positive components.
D0-COSMO-TRANSIENT-ACCELERATION-001,BOOK_08,transient acceleration from underdense mode,D0.Cosmology.TransientAcceleration,inverse_density_convex_three_point;underdense_geometric_mode_generates_positive_acceleration,LEAN_PROVED,False,,,CORE-FORMALIZED,Geometric underdensity pattern yields transient acceleration in 1/rho.
D0-COSMO-INSTABILITY-SATURATION-001,BOOK_08,instability saturation,D0.Cosmology.InstabilitySaturation,positive_lower_bound_blocks_eternal_linear_underdensity,LEAN_PROVED,False,,vp_archive_friedmann_instability.py,CORE-FORMALIZED,Lower bound blocks eternal linear underdensity growth.
D0-COSMO-ENTROPY-FLOW-FIXED-POINT-001,BOOK_08,homogeneous fixed point of entropy-coupled archive flow,D0.Cosmology.EntropyArchiveFlow,homogeneous_fixed_point,LEAN_PROVED,False,,,CORE-FORMALIZED,Mass-preserving homogeneous entropy-coupled flow fixed point.
D0-COSMO-JACOBIAN-INSTABILITY-001,BOOK_08,linearized Jacobian eigenvalue instability,D0.Cosmology.LinearizedEntropyFlow,jacobian_eigenvalue_formula;jacobian_eigenvalue_unstable_if_mu_positive,LEAN_PROVED,False,,,CORE-FORMALIZED,Linearized flow eigenvalue formula and instability.
D0-COSMO-VOLUME-FLOOR-BOUND-001,BOOK_08,archive volume bounds under density floor,D0.Cosmology.ArchiveVolumeBounds,density_floor_bounds_inverse;density_floor_bounds_archiveVolume;bounded_volume_no_eternal_uniform_acceleration,LEAN_PROVED,False,,,CORE-FORMALIZED,Density floor bounds archive volume and prevents eternal acceleration.
D0-COSMO-CONCRETE-FLOW-001,BOOK_08,concrete entropy softmax archive flow,D0.Cosmology.ConcreteEntropyArchiveFlow,softmax_flow_mass_preserving;homogeneous_state_maps_to_itself;positivity_if_initial_positive;centered_source_zero_mean,LEAN_PROVED,False,,,CORE-FORMALIZED,Concrete entropy-coupled softmax flow properties.
D0-COSMO-JACOBIAN-SIGN-001,BOOK_08,Jacobian sign convention instability audit,D0.Cosmology.EntropyJacobianSign,jacobian_eigenvalue_formula_convention;jacobian_eigenvalue_unstable_convention,LEAN_PROVED,False,,,CORE-FORMALIZED,Instability audit locks sign and eigenvalue formula.
D0-COSMO-FLOOR-PROJECTION-001,BOOK_08,mass-and-floor projection properties,D0.Cosmology.FloorMassProjection,projection_preserves_mass;projection_preserves_floor;projection_exists_of_feasible,LEAN_PROVED,False,,,CORE-FORMALIZED,Feasible projection preserves mass and floor.
D0-COSMO-TICK-GAUGE-EQUIV-001,BOOK_08,tick-gauge scaling equivalence,D0.Geometry.ArchiveTickGaugeFixing,eta_absorbs_into_response,LEAN_PROVED,False,,,CORE-FORMALIZED,Tick gauge equivalence holds by parameter absorption.
D0-COSMO-WATER-FILLING-001,BOOK_08,water-filling floor projection properties,D0.Probability.ArchiveFloorWaterFilling,waterFill_preserves_floor;waterFill_mass_if_root;feasibility,LEAN_PROVED,False,,,CORE-FORMALIZED,Water-filling preserves floor and is feasible when mass is large enough.
D0-COSMO-CONFORMAL-TRACE-001,BOOK_08,conformal Laplacian trace as volume proxy,D0.Geometry.ConformalLaplacianTrace,trace_weighted_laplacian;regular_trace_volume_proxy;archiveVolume_heat_trace_proxy,LEAN_PROVED,False,,,CORE-FORMALIZED,Weighted trace volume proxy proportional to archiveVolume on regular graphs.
D0-GEOM-HEAT-TRACE-EH-PROXY-001,BOOK_08,trace square weighted Laplacian decomposition,D0.Geometry.HeatTraceEHProxy,weighted_laplacian_entry;trace_square_weighted_laplacian_decomposition;offdiag_proxy_nonnegative;regular_graph_diagonal_square_term,LEAN_PROVED,False,,,CORE-FORMALIZED,Weighted trace square decomposition and proxy nonnegativity.
D0-COSMO-CORE-SHAPE-PASSPORT-BOUNDARY-001,BOOK_08,independence of D0 core shape generator from empirical parameters,D0.Cosmology.CoreShapePassportBoundary,core_shape_independent_of_empirical_parameters;empirical_passport_not_core_closed,LEAN_PROVED,False,,,CORE-FORMALIZED,D0 core shape independent of empirical params and external data not core closed.
D0-GEOM-HEAT-TRACE-A2-DECOMP-001,BOOK_08,A2 exact trace square decomposition with factor 1/2,D0.Geometry.HeatTraceA2Decomposition,heat_trace_sq_exact_decomposition;discrete_eh_proxy_nonnegative;offdiag_double_count_guard;double_count_factor_guard,LEAN_PROVED,False,,vp_spectral_action_eh_coefficient.py,CORE-FORMALIZED,Heat trace exact decomposition with factor 1/2 and double-count guard.
D0-GEOM-SPECTRAL-ACTION-LADDER-001,BOOK_08,spectral action trace power ladder properties and bounds,D0.Geometry.SpectralActionLadder,spectral_action_a0_is_volume_proxy;spectral_action_a2_is_eh_proxy;higher_curvature_floor_bound_basic;trace_power_bound;a0_is_volume_proxy;a2_is_eh_proxy;higher_powers_floor_bounded,LEAN_PROVED,False,,vp_spectral_action_eh_coefficient.py,CORE-FORMALIZED,Finite spectral-action ladder and bounds; no continuum EH promotion.
D0-GEOM-HIGHER-CURVATURE-FLOOR-BOUND-001,BOOK_08,higher curvature suppression by density floor,D0.Geometry.HigherCurvatureSuppression,Geometry.HigherCurvatureSuppression.matrix_power_combinatorial_bound;Geometry.HigherCurvatureSuppression.conformal_laplacian_entry_bound;Geometry.HigherCurvatureSuppression.higher_curvature_suppression_by_floor,LEAN_PROVED,False,,vp_spectral_action_eh_coefficient.py,CORE-FORMALIZED,Higher curvature trace powers are bounded by the conformal density floor estimate.
D0-TRACEABILITY-STATUS-TAXONOMY-001,BOOK_08,formal status taxonomy guardrail,D0.Traceability.StatusTaxonomy,Traceability.external_likelihood_cannot_promote_to_core_closed,LEAN_PROVED,False,,,CORE-FORMALIZED,Traceability status taxonomy with promotion guardrails.
D0-OPERATOR-GAUGE-CURVATURE-ORIGIN-001,BOOK_08,archive commutator gauge curvature origin,D0.Matter.GaugeCurvatureOrigin,Algebra.commutator_self_zero;Algebra.commutator_skew_of_skew;Algebra.minus_trace_square_nonnegative;Matter.gauge_curvature_skew;Matter.abelian_curvature_annihilates_self_interaction;Matter.gauge_action_positive_from_origin;Bridge.gauge_curvature_origin_closed,LEAN_PROVED,False,,,CORE-FORMALIZED,Linear/abelian gauge curvature origin closed from archive commutators.
D0-OPERATOR-VECTOR-LAPLACIAN-ORIGIN-001,BOOK_08,vector Laplacian operator origin,D0.Matter.VectorOperatorOrigin,Matter.vector_laplacian_preserves_skew;Matter.vector_laplacian_energy_nonnegative;Matter.vector_operator_origin_applies_to_field_equation;Bridge.vector_operator_origin_closed,LEAN_PROVED,False,,,CORE-FORMALIZED,Vector operator origin via negative double commutator.
D0-OPERATOR-EDGE-STIFFNESS-ORIGIN-001,BOOK_08,edge stiffness capacity-core origin,D0.Geometry.EdgeStiffnessOrigin,Geometry.capacityCore_symmetric;Geometry.capacityCore_psd;Geometry.symmOffDiag_projection_trace_transparent;Geometry.edge_stiffness_preserves_symmOffDiag;Geometry.edge_stiffness_energy_nonnegative;Bridge.edge_stiffness_origin_closed,LEAN_PROVED,False,,,CORE-FORMALIZED,Edge stiffness origin with symm-offdiag projection.
D0-NO-GO-BARE-ARCHIVE-NONABELIAN-001,BOOK_08,bare archive nonabelian completion boundary,D0.Bridge.OperatorOriginIndex,Bridge.nonabelian_completion_boundary,LEAN_PROVED,False,,,NO-GO,Nonabelian completion remains outside bare archive operator.
D0-NO-GO-EDGE-STIFFNESS-SCALAR-LEAKAGE-001,BOOK_08,edge stiffness scalar leakage without projection,D0.Geometry.EdgeStiffnessOrigin,Geometry.edge_projection_prevents_scalar_leakage,LEAN_PROVED,False,,,NO-GO,Bare HP+PH can leak scalar diagonal without symmOffDiag projection.
D0-NO-GO-FLAT-TENSOR-NONABELIAN-001,BOOK_08,flat tensor nonabelian boundary,D0.Gauge.FlatTensorNoGo,Gauge.flat_tensor_of_two_skew_is_symmetric;Gauge.naive_flat_tensor_nonabelian_boundary,LEAN_PROVED,False,,,NO-GO,Naive flat tensor of two skew sectors is symmetric and leaves the skew/vector sector.
D0-GAUGE-NONABELIAN-DISCRETE-CURVATURE-001,BOOK_08,nonabelian discrete curvature,D0.Gauge.NonAbelianDiscreteCurvature,Gauge.spatialCommutator_preserves_skew;Gauge.spatialWedge_preserves_skew;Gauge.nonabelian_curvature_preserves_skew;Gauge.nonabelian_discrete_curvature_boundary,LEAN_PROVED,False,,,CORE-FORMALIZED,Nonabelian curvature package preserves the skew sector after adding the wedge layer.
D0-GAUGE-BIANCHI-RESIDUAL-BOUNDARY-001,BOOK_08,bianchi residual boundary,D0.Gauge.BianchiResidual,Gauge.residual_expands_by_definitions;Gauge.exact_residual_graph_anomaly_boundary,LEAN_PROVED,False,,,NO-GO,Residual expansion is exact by definition; flat ungraded residual is NO-GO while graded incidence Bianchi is closed.
D0-GAUGE-YANG-MILLS-KILLING-POSITIVITY-001,BOOK_08,yang mills killing positivity,D0.Gauge.YangMillsKillingPositivity,Gauge.discreteYangMillsAction_nonnegative_of_killing_nonpos,LEAN_PROVED_WITH_BRIDGE_ASSUMPTIONS,True,ASSUMP-COMPACT-LIE-KILLING-NEGATIVE,,BRIDGE-ASSUMPTIONS-EXPLICIT,Yang-Mills positivity follows from assumed negative semidefinite Killing form. [was:BRIDGE-ASSUMPTION]
D0-FINAL-BRIDGE-INDEX-001,BOOK_08,final bridge index,D0.Bridge.FinalBridgeIndex,Bridge.D0_FINAL_FOUNDATION_INDEX,LEAN_PROVED,False,,,CORE-FORMALIZED,Machine-checkable final bridge index over closed D0 foundation groups.
D0-HURWITZ-LOCAL-BOUNDARY-001,BOOK_04,Hurwitz local finite boundary,D0.Algebra.HurwitzLocalBoundary,Algebra.dim_one_admissible;Algebra.dim_two_admissible;Algebra.dim_four_admissible;Algebra.dim_eight_admissible;Algebra.dim_one_has_local_finite_witness;Algebra.dim_two_has_local_finite_witness;Algebra.dim_four_has_local_finite_witness;Algebra.dim_eight_has_local_finite_witness;Algebra.hurwitz_local_boundary_split,LEAN_PROVED,False,,,CORE-FORMALIZED,Local finite admissibility and table witnesses are internal D0 theorems for dimensions 1/2/4/8.
